Measure,dat dere,chord_note,Time
2,Cmin7,C,2.0
2,Cmin7/Bb,C,3.0
3,Amin7(b5),A,4.0
3,Abmaj7,Ab,5.0
4,Amin7(b5),A,6.0
4,D7(#9),D,7.0
5,Dmin7(b5),D,8.0
5,G7,G,9.0
6,Cmin7,C,10.0
6,Cmin7/Bb,C,11.0
7,Amin7(b5),A,12.0
7,Abmaj7,Ab,13.0
8,Dmin7(b5),D,14.0
8,G7,G,15.0
9,Cmin7,C,16.0
9,G7,G,17.0
10,Cmin7,C,18.0
11,Dmin7,D,20.0
11,G7,G,20.666666666666668
11,Cmin7,C,21.333333333333332
12,Amin7(b5),A,22.0
12,D7,D,22.666666666666668
12,Gmin7,G,23.333333333333332
13,Amin7(b5),A,24.0
13,D7(#9),D,25.0
14,Dmin7(b5),D,26.0
14,G7,G,27.0
15,Dmin7(b5),D,28.0
15,G7,G,28.666666666666668
15,Cmin7,C,29.333333333333332
16,Amin7(b5),A,30.0
16,D7,D,30.666666666666668
16,Gmin7,G,31.333333333333332
17,Dmin7(b5),D,32.0
17,G7,G,33.0
18,Cmin7,C,34.0
18,G7,G,35.0
19,Cmin7,C,36.0
20,Amin7(b5),A,38.0
20,Abmaj7,Ab,39.0
21,Amin7(b5),A,40.0
21,D7(#9),D,41.0
22,Cmin7,C,42.0
22,G7(#5),G,43.0
23,Cmin7,C,44.0
24,Amin7(b5),A,46.0
24,Abmaj7,Ab,47.0
25,Dmin7,D,48.0
25,G7,G,49.0
26,Cmin7,C,50.0
26,G7,G,51.0
29,Cmin7,C,56.0
30,Amin7,A,58.0
30,Abmaj,Ab,59.0
31,Amin7,A,60.0
31,D7,D,61.0
32,Dmin7(b5),D,62.0
32,G7,G,63.0
33,Cmin7,C,64.0
34,Amin7,A,66.0
34,Abmaj7,Ab,67.0
35,D7,D,68.0
35,G7,G,69.0
36,F7,F,70.0
37,G7,G,72.0
38,D7,D,74.0
38,G7,G,74.66666666666667
38,Cmin7,C,75.33333333333333
39,Amin7,A,76.0
39,D7,D,76.66666666666667
39,Gmin7,G,77.33333333333333
40,Amin7(b5),A,78.0
41,Dmin7,D,80.0
41,G7,G,81.0
42,D7,D,82.0
42,G7,G,82.66666666666667
42,Cmin7,C,83.33333333333333
43,Amin7,A,84.0
43,D7,D,84.66666666666667
43,Gmin7,G,85.33333333333333
44,D7,D,86.0
44,G7,G,87.0
45,F7,F,88.0
