Measure,Moonglow,chord_note,Time
1,Abmaj7,Ab,0.0
2,Db9,Db,2.0
3,Ebmaj7,Eb,4.0
3,Cmin7,C,5.0
4,F9,F,6.0
5,Fmin7,F,8.0
6,Bb13,Bb,10.0
7,Ebmaj7,Eb,12.0
7,Ebdim7,Eb,13.0
8,Fmin7,F,14.0
8,Ebmaj7,Eb,15.0
9,Eb7,Eb,16.0
10,D7,D,18.0
10,Db7,Db,19.0
11,C7,C,20.0
13,F9,F,24.0
15,Bb13,Bb,28.0
15,B7,B,29.0
16,Bb7,Bb,30.0
16,Eb9,Eb,31.0
17,Abmaj7,Ab,32.0
18,Db9,Db,34.0
19,Ebmaj7,Eb,36.0
19,Cmin7,C,37.0
20,F9,F,38.0
21,Fmin7,F,40.0
22,Bb13,Bb,42.0
23,Ebmaj7,Eb,44.0
23,Ebdim7,Eb,45.0
24,Fmin7,F,46.0
24,Ebmaj7,Eb,47.0
