Measure,Chameleon,chord_note,Time
2,Bbmin7,Bb,2.0
3,Eb7,Eb,4.0
4,Bbmin7,Bb,6.0
5,Eb7,Eb,8.0
6,Bbmin7,Bb,10.0
7,Eb7,Eb,12.0
8,Bbmin7,Bb,14.0
9,Eb7,Eb,16.0
10,Bbmin7,Bb,18.0
11,Ebmin7,Eb,20.0
12,Bb,Bb,22.0
16,Bbmin7,Bb,30.0
17,Eb7,Eb,32.0
18,Bbmin7,Bb,34.0
19,Eb7,Eb,36.0
20,Bb,Bb,38.0
28,Bbmin7,Bb,54.0
29,Db7sus(07),Db,56.0
30,Bbmin7,Bb,58.0
31,Db7sus(07),Db,60.0
32,Bbmin7,Bb,62.0
33,Db7,Db,64.0
34,Bbmin7,Bb,66.0
35,Db7,Db,68.0
36,Bb,Bb,70.0
40,Bbmin7,Bb,78.0
41,Db7,Db,80.0
42,Bbmin7,Bb,82.0
43,Db7,Db,84.0
44,Bb,Bb,86.0
48,Bbmin7,Bb,94.0
49,Eb7,Eb,96.0
50,Bbmin7,Bb,98.0
51,Eb7,Eb,100.0
52,Bbmin7,Bb,102.0
53,Eb7,Eb,104.0
54,Bbmin7,Bb,106.0
55,Eb7,Eb,108.0
56,Bbmin7,Bb,110.0
57,Ebmin7,Eb,112.0
58,Bb,Bb,114.0
