Measure,Brother Ray,chord_note,Time
2,G,G,1.5
3,F7,F,3.0
4,Bb7,Bb,4.5
5,C7,C,6.0
6,G,G,7.5
7,F,F,9.0
8,Bb7,Bb,10.5
9,C7,C,12.0
10,G,G,13.5
11,F7,F,15.0
12,Bb7,Bb,16.5
13,C7,C,18.0
14,Eb7,Eb,19.5
16,E7sus(07),E,22.5
17,F7sus(07),F,24.0
18,G,G,25.5
19,F13,F,27.0
20,Bb,Bb,28.5
21,C7,C,30.0
22,G,G,31.5
23,F7,F,33.0
24,Bb7,Bb,34.5
25,C7,C,36.0
26,G,G,37.5
27,F7,F,39.0
28,Bb7,Bb,40.5
29,C7,C,42.0
30,G,G,43.5
31,F,F,45.0
32,Bb6,Bb,46.5
33,C7,C,48.0
34,G,G,49.5
35,F7,F,51.0
36,Bb7,Bb,52.5
37,C7,C,54.0
38,Eb7,Eb,55.5
40,E13,E,58.5
41,D7(#11),D,60.0
42,G7,G,61.5
43,F7,F,63.0
44,Bb,Bb,64.5
45,C9,C,66.0
46,G7,G,67.5
47,F7,F,69.0
48,Bb7,Bb,70.5
49,C7,C,72.0
51,Emin,E,75.0
52,G7,G,76.5
54,A7,A,79.5
56,C7,C,82.5
57,B7,B,84.0
59,Emin,E,87.0
60,G7,G,88.5
62,A7,A,91.5
64,C7,C,94.5
65,B7,B,96.0
