Measure,Blues on the Corner,Time
1,B-17,0.0
2,E-17,2.0
2,Edim7,3.0
3,B-17,4.0
3,B-17,4.666666666666667
3,A-17,5.333333333333333
4,G-17,6.0
4,E7,6.666666666666667
4,D7,7.333333333333333
5,E-17,8.0
6,B-17,10.0
7,B-17,12.0
7,E-17,13.0
8,D7,14.0
8,G7,15.0
9,Cmin7,16.0
10,F7,18.0
11,B-17,20.0
11,G7,21.0
12,C7,22.0
12,F7,23.0
13,C7,24.0
13,F7,25.0
15,E7,28.0
