Measure,psychedelic sally C,chord_note,Time
1,Cmin7,C,0.0
2,F7,F,2.0
3,Cmin6,C,4.0
4,F7,F,6.0
5,Cmin7,C,8.0
6,F7,F,10.0
7,Cmin7,C,12.0
8,F7,F,14.0
9,Cmin7,C,16.0
10,F7,F,18.0
11,Cmin7,C,20.0
12,F7,F,22.0
12,C,C,23.0
13,Cmin7,C,24.0
13,C,C,25.0
14,C,C,26.0
15,Ab7,Ab,28.0
16,Ab7,Ab,30.0
17,Ab7,Ab,32.0
18,Ab7,Ab,34.0
19,Ab7,Ab,36.0
20,Ab7,Ab,38.0
21,Ab7,Ab,40.0
22,Ab7,Ab,42.0
23,Cmin7,C,44.0
24,F7,F,46.0
25,Cmin7,C,48.0
26,F7,F,50.0
27,Cmin7,C,52.0
28,F7,F,54.0
28,C,C,55.0
29,Cmin7,C,56.0
29,C,C,57.0
