Measure,lhcd,Time
1,B-17,0.0
2,E-17,2.0
3,B-17,4.0
4,E-17,6.0
5,B-17,8.0
6,E-17,10.0
7,B-17,12.0
8,E-17,14.0
9,B-17,16.0
10,E-17,18.0
11,B-17,20.0
12,E-17,22.0
13,G-1maj13,24.0
14,A-1maj13,26.0
14,B-17,27.0
17,B-17,32.0
18,E-17,34.0
19,B-17,36.0
20,E-17,38.0
21,B-17,40.0
