Measure,CapeVerdeanBlues,chord_note,Time
1,Eb,Eb,0.0
3,Cmin7,C,4.0
4,Cmin(maj7),C,6.0
5,Cmin7,C,8.0
7,G7,G,12.0
8,Ab7,Ab,14.0
9,G7,G,16.0
12,Ab7,Ab,22.0
13,G7,G,24.0
14,Db7,Db,26.0
15,Cmin7,C,28.0
16,Cmin(maj7),C,30.0
17,Cmin7,C,32.0
17,Eb,Eb,33.0
19,Cmin7,C,36.0
19,Eb,Eb,37.0
21,Bb7,Bb,40.0
22,B7,B,42.0
23,Bb7,Bb,44.0
24,Bb7,Bb,46.0
25,Cmin7,C,48.0
26,Cmin(maj7),C,50.0
27,Cmin7,C,52.0
29,D7,D,56.0
31,Ab7,Ab,60.0
32,G7,G,62.0
33,Cmin7,C,64.0
34,Cmin(maj7),C,66.0
35,Cmin7,C,68.0
35,Eb,Eb,69.0
37,Cmin7,C,72.0
37,Eb,Eb,73.0
38,Cmin7,C,74.0
39,Cmin(maj7),C,76.0
41,Cmin7,C,80.0
43,G7,G,84.0
44,Ab7,Ab,86.0
45,G7,G,88.0
47,G7,G,92.0
48,Ab7,Ab,94.0
49,G7,G,96.0
50,Db7,Db,98.0
51,Cmin7,C,100.0
52,Cmin(maj7),C,102.0
53,Cmin7,C,104.0
59,Cmin7,C,116.0
