Measure,Senor blues bass,chord_note,Time
2,Ebmin7,Eb,1.5
6,Ebmin7,Eb,7.5
10,Ebmin7,Eb,13.5
14,Ebmin7,Eb,19.5
18,B9,B,25.5
20,B9,B,28.5
22,Ebmin7,Eb,31.5
26,Bb7,Bb,37.5
28,Ab13,Ab,40.5
30,Ebmin7,Eb,43.5
36,Ebmin7,Eb,52.5
51,Eb,Eb,75.0
56,Ebmin7,Eb,82.5
64,B7,B,94.5
68,Ebmin7,Eb,100.5
72,Bb13,Bb,106.5
74,Ab13,Ab,109.5
76,Ebmin7,Eb,112.5
