Measure,BlessedBlackness,chord_note,Time
1,Cmin7,C,0.0
2,Db,Db,2.0
3,Cmin7,C,4.0
4,F7,F,6.0
5,Cmin7,C,8.0
6,Db,Db,10.0
7,Cmin7,C,12.0
8,Bb,Bb,14.0
9,Cmin7,C,16.0
10,Db,Db,18.0
11,Cmin7,C,20.0
12,F7,F,22.0
13,Cmin7,C,24.0
14,Db,Db,26.0
15,Cmin7,C,28.0
16,Bb,Bb,30.0
17,Bb,Bb,32.0
18,Eb,Eb,34.0
19,Cmin7,C,36.0
20,Eb,Eb,38.0
21,Cmin7,C,40.0
22,Eb,Eb,42.0
23,Cmin7,C,44.0
24,Eb,Eb,46.0
25,Bb,Bb,48.0
26,Cmin7,C,50.0
27,Db,Db,52.0
28,Cmin7,C,54.0
29,F7,F,56.0
30,Cmin7,C,58.0
31,Db,Db,60.0
32,Cmin6,C,62.0
33,Bb,Bb,64.0
