Measure,CowFunque,chord_note,Time
9,Ab7,Ab,16.0
9,Eb7,Eb,17.0
10,Ab7,Ab,18.0
10,Eb7,Eb,19.0
43,Ab7,Ab,84.0
43,Eb7,Eb,85.0
44,Ab7,Ab,86.0
44,Eb7,Eb,87.0
