Measure,Dangerous Curves B,Time
2,G13,2.0
3,C7,4.0
4,G13,6.0
5,C7,8.0
6,G13,10.0
7,C7,12.0
8,G13,14.0
9,C7,16.0
26,G13,50.0
27,C7,52.0
28,G13,54.0
29,C7,56.0
30,G13,58.0
31,C7,60.0
32,G13,62.0
33,C7,64.0
34,A9,66.0
34,Bb9,66.66666666666667
34,B9,67.33333333333333
35,C9,68.0
35,G13,69.0
36,G13,70.0
37,C9,72.0
38,A9,74.0
38,Bb9,74.66666666666667
38,B9,75.33333333333333
39,C9,76.0
40,G13,78.0
41,C9,80.0
41,G7,81.0
42,Cmin9,82.0
43,F13,84.0
44,Bmin9,86.0
44,E9,87.0
45,Bbmin9,88.0
45,Eb9,89.0
46,A9,90.0
47,A9,92.0
47,G13,93.0
48,C7,94.0
49,G13,96.0
50,C7,98.0
51,G13,100.0
52,C7,102.0
58,G13,114.0
59,C9,116.0
65,C7,128.0
66,G13,130.0
67,C7,132.0
68,G13,134.0
69,G13,136.0
70,C7,138.0
71,G13,140.0
72,C7,142.0
73,G13,144.0
74,C7,146.0
75,G13,148.0
76,G13,150.0
