Measure,Blues for PK,Time
2,Bb7,2.0
6,Eb9,10.0
8,Bb7,14.0
10,F9,18.0
11,Eb9,20.0
12,Bb7,22.0
15,Bb7,28.0
16,Bb7,30.0
17,Bb7,32.0
18,Bb7,34.0
19,Eb9,36.0
20,Eb9,38.0
21,Bb7,40.0
22,Bb7,42.0
23,F9,44.0
24,Eb9,46.0
25,Bb7,48.0
25,Cmin7,49.0
26,F7,50.0
26,Eb9,50.666666666666664
26,Bb7,51.333333333333336
