Measure,gonehome,chord_note,Time
8,C#7,C#,14.0
8,C7,C,15.0
9,C#7,C#,16.0
10,C7,C,18.0
11,C#7,C#,20.0
12,C7,C,22.0
13,C#7,C#,24.0
14,C7,C,26.0
15,C7,C,28.0
16,G7,G,30.0
16,C,C,31.0
18,C7,C,34.0
