Measure,WineLight,chord_note,Time
2,Cmin7,C,2.0
7,Fmin7,F,12.0
9,Cmin7,C,16.0
11,Abmin7,Ab,20.0
13,Cmin7,C,24.0
15,Cmin7,C,28.0
17,Ebmaj7,Eb,32.0
18,Eb9,Eb,34.0
19,Abmaj7,Ab,36.0
20,Db13,Db,38.0
21,Ebmaj7,Eb,40.0
22,Eb9,Eb,42.0
23,Abmaj7,Ab,44.0
24,Db9,Db,46.0
25,Eb/Bb,Eb,48.0
26,Cdim7/Bb,C,50.0
27,Abmaj7/Bb,Ab,52.0
28,G7,G,54.0
32,Cmin7,C,62.0
36,Fmin7,F,70.0
38,Cmin7,C,74.0
40,Abmin7,Ab,78.0
42,Cmin7,C,82.0
44,Cmin7,C,86.0
