Measure,Reverend Green,chord_note,Time
1,G7,G,0.0
1,G9,G,0.6666666666666666
1,C7,C,1.3333333333333333
3,G7,G,4.0
3,G9,G,4.666666666666667
3,C7,C,5.333333333333333
5,G7,G,8.0
5,G9,G,9.0
6,C9,C,10.0
7,G7,G,12.0
7,G9,G,12.666666666666666
7,C7,C,13.333333333333334
9,G7,G,16.0
9,G9,G,17.0
10,C9,C,18.0
11,G7,G,20.0
11,G9,G,20.666666666666668
11,C9,C,21.333333333333332
13,G7,G,24.0
13,G9,G,24.666666666666668
13,C7,C,25.333333333333332
15,G7,G,28.0
15,G9,G,28.666666666666668
15,C7,C,29.333333333333332
17,G7,G,32.0
17,G9,G,33.0
18,C7,C,34.0
19,G7,G,36.0
19,G9,G,37.0
20,C7,C,38.0
21,Emin7,E,40.0
22,Cmaj7,C,42.0
23,Emin7,E,44.0
24,Cmaj7,C,46.0
25,Emin7,E,48.0
26,Cmaj7,C,50.0
27,A7,A,52.0
28,C9,C,54.0
29,G7,G,56.0
29,G9,G,57.0
30,C9,C,58.0
31,G7,G,60.0
31,G9,G,61.0
32,C7,C,62.0
33,G7,G,64.0
33,G9,G,65.0
34,C7,C,66.0
35,G7,G,68.0
35,G9,G,69.0
36,C9,C,70.0
