Measure,IsYouIsOrIsYouAintMyBaby,chord_note,Time
5,Emin7,E,8.0
5,Emin/D,E,9.0
6,C7,C,10.0
6,B7,B,11.0
7,Emin7,E,12.0
7,Emin7/D,E,13.0
8,C7,C,14.0
8,B7,B,15.0
9,A7,A,16.0
11,D7,D,20.0
12,B7,B,22.0
13,Emin7,E,24.0
13,Emin7/D,E,25.0
14,C,C,26.0
14,B7,B,27.0
15,Emin7,E,28.0
15,Emin7/D,E,29.0
16,C7,C,30.0
16,B7,B,31.0
17,A7,A,32.0
19,D7,D,36.0
20,B7,B,38.0
21,Emin7,E,40.0
21,B7/F#,B,41.0
22,Emin7/G,E,42.0
22,B7/F#,B,43.0
23,Emin7,E,44.0
24,A#13,A#,46.0
25,A7,A,48.0
26,Amin7,A,50.0
26,D7,D,51.0
27,Gmaj6,G,52.0
28,C7,C,54.0
28,B7,B,55.0
29,Emin7,E,56.0
29,B7/F#,B,57.0
30,Emin7/G,E,58.0
30,B7/F#,B,59.0
31,Emin7,E,60.0
32,A#13,A#,62.0
33,A7,A,64.0
34,Amin7,A,66.0
34,D7,D,67.0
35,G6,G,68.0
36,Dmin7,D,70.0
36,G7,G,71.0
37,Cmaj7,C,72.0
38,Cmin7,C,74.0
39,Gmaj7,G,76.0
40,Dmin7,D,78.0
40,G7,G,79.0
41,Cmaj7,C,80.0
42,Cmin7,C,82.0
43,Bmin7(b5),B,84.0
43,E7,E,85.0
44,Amin7,A,86.0
44,F#min7(b5),F#,86.66666666666667
44,B7,B,87.33333333333333
45,Emin7,E,88.0
45,B7/F#,B,89.0
46,Emin7/G,E,90.0
46,B7/F#,B,91.0
47,Emin7,E,92.0
48,A#13,A#,94.0
49,A7,A,96.0
50,Amin7,A,98.0
50,D7,D,99.0
51,Gmaj7,G,100.0
51,F7(b5),F,101.0
52,E7,E,102.0
53,A7,A,104.0
54,Amin7,A,106.0
54,D7,D,107.0
55,Gmaj7,G,108.0
56,C7,C,110.0
56,B7,B,111.0
57,Emin,E,112.0
57,Bmin7,B,113.0
58,C7,C,114.0
58,B7,B,115.0
59,A7,A,116.0
60,G#7,G#,118.0
61,G7,G,120.0
