Measure,HustlerTheII,chord_note,Time
1,Dmin7,D,0.0
2,C#min7,C#,2.0
3,Cmin7,C,4.0
4,Bmin7,B,6.0
7,Dmin7,D,12.0
15,G7/G,G,28.0
16,G,G,30.0
17,G7,G,32.0
18,G,G,34.0
19,Bb,Bb,36.0
19,F,F,37.0
20,G,G,38.0
20,F,F,39.0
21,F,F,40.0
21,Amin7,A,40.666666666666664
21,Dmin7,D,41.333333333333336
22,Dmin7,D,42.0
26,Dmin7,D,50.0
27,C#min7,C#,52.0
28,Cmin7,C,54.0
29,Bmin7,B,56.0
30,Dmin7,D,58.0
31,C#min7,C#,60.0
32,Cmin7,C,62.0
33,Bmin7,B,64.0
34,Dmin7,D,66.0
38,Dmin7,D,74.0
42,G,G,82.0
46,Bb,Bb,90.0
46,F,F,91.0
47,G,G,92.0
47,F,F,93.0
48,F,F,94.0
48,Amin7,A,94.5
48,Dmin7,D,95.0
48,F,F,95.5
49,Dmin7,D,96.0
52,Emin7,E,102.0
52,Dmin7,D,102.5
52,A7,A,103.0
52,G7,G,103.5
