Measure,For Mods Only,chord_note,Time
1,C#7,C#,0.0
3,C#7,C#,4.0
5,C#7,C#,8.0
8,F#7,F#,14.0
10,C#7,C#,18.0
12,G#7,G#,22.0
13,F#7,F#,24.0
14,C#,C#,26.0
16,C#7,C#,30.0
18,F#7,F#,34.0
20,C#7,C#,38.0
22,F#7,F#,42.0
24,G#7,G#,46.0
25,C#7,C#,48.0
29,G#,G#,56.0
