Measure,Song For My Lady,chord_note,Time
1,Dmin7,D,0.0
2,Cmaj7,C,1.5
3,Bbmaj7,Bb,3.0
4,A7,A,4.5
5,A7,A,6.0
6,Dmin7,D,7.5
7,Cmaj7,C,9.0
8,Bbmaj7,Bb,10.5
9,A7,A,12.0
10,Dmin7,D,13.5
11,Cmaj7,C,15.0
12,Bbmaj7,Bb,16.5
13,A7,A,18.0
14,Dmin7,D,19.5
15,C,C,21.0
16,Bbmaj7,Bb,22.5
17,A7,A,24.0
18,Dmin,D,25.5
19,C,C,27.0
20,Bbmaj7,Bb,28.5
21,A7,A,30.0
