Measure,Tune 88,chord_note,Time
1,G13,G,0.0
3,G13,G,4.0
5,C13,C,8.0
7,G13,G,12.0
9,Eb13,Eb,16.0
13,G9,G,24.0
13,Ab9,Ab,25.0
14,G9,G,26.0
15,G9,G,28.0
15,Ab9,Ab,29.0
16,G9,G,30.0
17,G9,G,32.0
17,Ab9,Ab,33.0
18,G9,G,34.0
19,G9,G,36.0
19,Ab9,Ab,37.0
21,G9,G,40.0
21,Db7(#9),Db,41.0
