Measure,herzog,chord_note,Time
2,F7,F,2.0
9,Bmin7,B,16.0
13,C7,C,24.0
14,A7,A,26.0
16,C7,C,30.0
17,A7,A,32.0
19,Fmin11,F,36.0
28,Ab7,Ab,54.0
31,C7,C,60.0
31,A7,A,61.0
32,A7,A,62.0
35,C7,C,68.0
35,A7,A,69.0
36,A7,A,70.0
38,C7,C,74.0
39,A7,A,76.0
40,F#7,F#,78.0
41,Eb7,Eb,80.0
42,F7,F,82.0
50,Bmin7,B,98.0
58,A7,A,114.0
64,Fmin7,F,126.0
72,Ab7,Ab,142.0
80,A7,A,158.0
86,C7,C,170.0
87,A7,A,172.0
88,F7,F,174.0
89,Eb7,Eb,176.0
