Measure,Jive Samba,chord_note,Time
9,F7(#9),F,16.0
9,F,F,17.0
10,F7(#9),F,18.0
10,F,F,19.0
11,F7(#9),F,20.0
11,F,F,21.0
12,F7(#9),F,22.0
12,F,F,23.0
13,F7(#9),F,24.0
13,F,F,25.0
22,Bb7,Bb,42.0
24,F7(#9),F,46.0
26,F7(#9),F,50.0
