Measure,Agogo,chord_note,Time
5,Bmin7,B,8.0
21,G7,G,40.0
36,A7,A,70.0
36,G#7,G#,70.5
36,A7,A,71.0
36,G#7,G#,71.5
37,A7,A,72.0
37,G#7,G#,72.5
37,A7,A,73.0
37,G#7,G#,73.5
