Measure,Chicago Seranade,chord_note,Time
2,Dmin7,D,2.0
3,G7,G,4.0
4,C7,C,6.0
5,F7,F,8.0
6,Bbmaj7,Bb,10.0
7,A7(#9),A,12.0
8,Dmin7,D,14.0
9,Dmajor-minor(09),D,16.0
10,G7,G,18.0
11,C7,C,20.0
12,F7,F,22.0
13,Bbmaj7,Bb,24.0
14,Bmin7,B,26.0
15,E7,E,28.0
16,A7,A,30.0
17,D7,D,32.0
18,Gmin7,G,34.0
19,C7,C,36.0
20,Fmaj7,F,38.0
21,G7,G,40.0
22,C7,C,42.0
23,F7,F,44.0
24,Bbmaj7,Bb,46.0
25,Bmin7,B,48.0
26,A7,A,50.0
27,D7,D,52.0
28,G7,G,54.0
29,C7,C,56.0
30,F7,F,58.0
31,B7,B,60.0
32,Bb7,Bb,62.0
33,A7,A,64.0
34,Dmin7,D,66.0
35,Dmin7,D,68.0
