Measure,Cinnamon and Clove,chord_note,Time
1,Gmin7,G,0.0
2,Gmin/Gb,G,2.0
3,Gmin/F,G,4.0
4,Gmin/E,G,6.0
5,Gmin,G,8.0
6,Gmin/Gb,G,10.0
7,Gmin/F,G,12.0
8,Gmin/E,G,14.0
11,Fmin7,F,20.0
12,Bb9,Bb,22.0
13,Eb13,Eb,24.0
14,Adim,A,26.0
15,Gmaj,G,28.0
16,Amin7,A,30.0
17,Bmin7,B,32.0
18,Bb13,Bb,34.0
19,Ebmaj7,Eb,36.0
20,Fmin7,F,38.0
21,Gmin,G,40.0
22,Adim,A,42.0
23,Gmin,G,44.0
24,Gmin/Gb,G,46.0
25,Gmin/F,G,48.0
26,Dmin/E,D,50.0
27,Ddim,D,52.0
28,G7(#9),G,54.0
29,Ddim,D,56.0
30,G7,G,58.0
31,Cmin6,C,60.0
32,A7,A,62.0
33,A7,A,64.0
34,D7,D,66.0
35,Eb13,Eb,68.0
36,Adim,A,70.0
39,Gmin,G,76.0
40,Gmin/Gb,G,78.0
41,Gmin/F,G,80.0
42,Gmin/E,G,82.0
43,Gmin,G,84.0
44,Gmin/Gb,G,86.0
45,Gmin/F,G,88.0
46,Gmin/E,G,90.0
47,Cmin7,C,92.0
48,F9,F,94.0
49,Bbmaj,Bb,96.0
50,E7,E,98.0
51,Adim,A,100.0
52,D7,D,102.0
53,Gmin7,G,104.0
54,Gmin6,G,106.0
55,Cmin7,C,108.0
56,F9,F,110.0
57,Bbmaj,Bb,112.0
58,Ebmaj,Eb,114.0
59,Edim,E,116.0
60,A7,A,118.0
61,D7,D,120.0
62,Adim,A,122.0
62,D7,D,123.0
63,Gmin6,G,124.0
65,Cmin7,C,128.0
66,Bb9,Bb,130.0
67,Eb13,Eb,132.0
68,Abdim,Ab,134.0
69,Gmaj7,G,136.0
70,Amin7,A,138.0
71,Bmin7,B,140.0
72,Bb13,Bb,142.0
73,Fmin7,F,144.0
74,Bb9,Bb,146.0
75,Eb13,Eb,148.0
76,Adim,A,150.0
77,Gmin7,G,152.0
78,Gmin7/Gb,G,154.0
79,Gmin7/F,G,156.0
80,Gmin/E,G,158.0
81,Gmin,G,160.0
82,Gmin/Gb,G,162.0
83,Gmin/F,G,164.0
84,Gmin/E,G,166.0
