Measure,Too Many Rivers To Cross,chord_note,Time
7,F,F,12.0
7,Amin,A,13.0
8,Bb,Bb,14.0
8,A,A,15.0
9,Bbmaj7,Bb,16.0
9,C,C,17.0
10,F,F,18.0
10,C,C,19.0
11,F,F,20.0
11,Amin,A,21.0
12,Bb,Bb,22.0
12,A,A,23.0
13,Bbmaj7,Bb,24.0
13,C,C,25.0
14,F,F,26.0
14,C,C,27.0
