Measure,Caravan,chord_note,Time
1,C7,C,0.0
2,Db7,Db,2.0
3,C7,C,4.0
4,C7,C,6.0
5,C6,C,8.0
6,Db7,Db,10.0
7,C7,C,12.0
9,C7,C,16.0
10,Db7,Db,18.0
11,C7,C,20.0
13,Fmin6,F,24.0
17,F7,F,32.0
20,F7,F,38.0
21,Bb7,Bb,40.0
23,Fmin7,F,44.0
24,Bb7,Bb,46.0
25,Eb7,Eb,48.0
28,Eb9,Eb,54.0
28,Eb7(b9),Eb,55.0
29,Abmaj7,Ab,56.0
31,C7,C,60.0
31,Fmin6,F,61.0
32,Ebdim7,Eb,62.0
32,C7,C,63.0
33,Gdim7,G,64.0
34,Db7,Db,66.0
35,Gdim7,G,68.0
37,Gdim7,G,72.0
38,Abdim7,Ab,74.0
39,Gdim7,G,76.0
41,Gdim7,G,80.0
42,Db7,Db,82.0
43,Gdim7,G,84.0
45,Fmin7,F,88.0
