Measure,Blues after Dark II,Time
2,F7,2.0
3,F7,4.0
4,F7,6.0
5,F7,8.0
6,F7,10.0
7,F7,12.0
8,F7,14.0
9,F7,16.0
10,F7,18.0
11,F7,20.0
12,F7,22.0
13,F7,24.0
14,B-17,26.0
15,F,28.0
16,F7,30.0
17,F7,32.0
17,F,33.0
18,F7,34.0
18,F,35.0
19,B-17,36.0
19,F,37.0
20,F7,38.0
21,F7,40.0
22,F,42.0
23,F7,44.0
23,F,45.0
24,F7,46.0
25,F7,48.0
26,F7,50.0
27,F7,52.0
28,F7,54.0
