Measure,JustFriends,chord_note,Time
1,Bbmaj7,Bb,0.0
2,Bbmaj7,Bb,2.0
3,Bbmin7,Bb,4.0
4,Eb7,Eb,6.0
5,Fmaj7,F,8.0
6,Fmaj7,F,10.0
7,Abmin7,Ab,12.0
8,Db7,Db,14.0
9,Gmin7,G,16.0
10,C7,C,18.0
11,Amin7,A,20.0
12,Dmin7,D,22.0
13,G7,G,24.0
15,Gmin7,G,28.0
16,C7,C,30.0
16,F7,F,31.0
17,Bbmaj7,Bb,32.0
19,Bbmin7,Bb,36.0
20,Eb7,Eb,38.0
21,Fmaj7,F,40.0
23,Abmin7,Ab,44.0
24,Db7,Db,46.0
25,Gmin7,G,48.0
26,C7,C,50.0
27,Edim7,E,52.0
27,A7,A,53.0
28,Dmin7,D,54.0
29,G7,G,56.0
30,Gmin7,G,58.0
30,C7,C,59.0
31,F6,F,60.0
32,Cmin7,C,62.0
32,F7,F,63.0
