Measure,More Soul Than soulful,chord_note,Time
1,G7,G,0.0
2,C7,C,3.0
3,G7,G,6.0
4,C7,C,9.0
5,G7,G,12.0
6,C7,C,15.0
7,G7,G,18.0
8,C7,C,21.0
9,A7,A,24.0
10,D7,D,27.0
11,A7,A,30.0
12,D7,D,33.0
13,A7,A,36.0
14,D7,D,39.0
15,A7,A,42.0
16,D7,D,45.0
17,E7,E,48.0
18,A7,A,51.0
19,E7,E,54.0
20,A7,A,57.0
21,E7,E,60.0
22,A7,A,63.0
23,E7,E,66.0
24,A7,A,69.0
