Measure,Sonny's Crib,chord_note,Time
1,Bb,Bb,0.0
2,F7(#9),F,2.0
2,Bb7,Bb,3.0
3,Bb,Bb,4.0
4,F7(#9),F,6.0
4,Bb7,Bb,7.0
5,Bb,Bb,8.0
6,Bb7,Bb,10.0
6,Eb7,Eb,11.0
7,Bb,Bb,12.0
8,F7(#9),F,14.0
8,Bb7,Bb,15.0
9,Bb,Bb,16.0
10,C7,C,18.0
10,F7,F,19.0
11,Bb,Bb,20.0
12,Bb7,Bb,22.0
12,Eb7,Eb,22.5
12,Edim,E,23.0
12,Bb7,Bb,23.5
13,Bb,Bb,24.0
15,Eb7,Eb,28.0
15,Edim7,E,29.0
16,Bb7,Bb,30.0
17,Eb7,Eb,32.0
17,Edim7,E,33.0
18,Bb7,Bb,34.0
19,Eb7,Eb,36.0
19,Edim7,E,37.0
20,Bb7,Bb,38.0
21,C7,C,40.0
21,C7(#9),C,40.666666666666664
21,F7,F,41.333333333333336
22,Bb,Bb,42.0
23,F7(#9),F,44.0
23,Bb7,Bb,45.0
24,Bb,Bb,46.0
25,F7(#9),F,48.0
25,Bb7,Bb,49.0
26,Bb,Bb,50.0
27,Bb7,Bb,52.0
27,Eb7,Eb,53.0
28,Bb,Bb,54.0
29,F7(#9),F,56.0
29,Bb7,Bb,57.0
30,Bb,Bb,58.0
31,C7,C,60.0
31,F7,F,61.0
32,Bb,Bb,62.0
33,Bb7,Bb,64.0
33,Eb7,Eb,64.5
33,Edim,E,65.0
33,Bb7,Bb,65.5
35,Bb7(b5),Bb,68.0
