Measure,"Cat, The",chord_note,Time
1,F9,F,0.0
6,F9,F,10.0
10,Bb7,Bb,18.0
12,F9,F,22.0
14,C7,C,26.0
15,Bb7,Bb,28.0
16,F9,F,30.0
