Measure,Night And DAy,chord_note,Time
2,Dmin7,D,2.0
3,G7,G,4.0
4,Cmaj7,C,6.0
5,Cmaj7,C,8.0
6,Dmin7,D,10.0
7,G7,G,12.0
8,Cmaj7,C,14.0
9,Cmaj7,C,16.0
10,F#min7,F#,18.0
11,Fmin7,F,20.0
12,Emin7,E,22.0
13,Ebdim7,Eb,24.0
14,Dmin7,D,26.0
15,G7,G,28.0
16,Cmaj7,C,30.0
17,Cmaj7,C,32.0
18,Bb7,Bb,34.0
19,Ebmaj7,Eb,36.0
20,Ebmaj7,Eb,38.0
21,Cmaj7,C,40.0
22,Cmaj7,C,42.0
23,Ebmaj7,Eb,44.0
24,Ebmaj7,Eb,46.0
25,Cmaj7,C,48.0
26,Cmaj7,C,50.0
27,F#min7,F#,52.0
28,Fmin7,F,54.0
29,Emin7,E,56.0
30,Ebdim7,Eb,58.0
31,Dmin7,D,60.0
32,G7,G,62.0
32,Dmin7,D,63.0
33,Cmaj7,C,64.0
34,D7,D,66.0
34,G7,G,67.0
