Measure,OnGreenDolphinStreet,chord_note,Time
1,Ebmaj7,Eb,0.0
3,Gbmaj7/Eb,Gb,4.0
5,Fmaj7/Eb,F,8.0
6,Emaj7/Eb,E,10.0
7,Ebmaj7,Eb,12.0
9,Ebmaj7,Eb,16.0
11,Ebmin7,Eb,20.0
13,Fmaj7/Eb,F,24.0
14,Emaj7/Eb,E,26.0
15,Ebmaj7,Eb,28.0
16,C7,C,30.0
17,Fmin7,F,32.0
18,Bb7,Bb,34.0
19,Ebmaj7,Eb,36.0
21,Abmin7,Ab,40.0
22,Db7,Db,42.0
23,Gbmaj7,Gb,44.0
24,Fmin7,F,46.0
24,Bb7,Bb,47.0
25,Fmin7,F,48.0
25,Fmin7/Eb,F,49.0
26,Dmin7,D,50.0
26,G7,G,51.0
27,Cmin7,C,52.0
27,Cmin7/Bb,C,53.0
28,Amin7(b5),A,54.0
28,D7(b9),D,55.0
29,Gmin7,G,56.0
29,C7,C,57.0
30,Fmin7,F,58.0
30,Bb7,Bb,59.0
31,Ebmaj7,Eb,60.0
32,Fmin7,F,62.0
32,Bb7,Bb,63.0
