Measure,LittleBsPoem,chord_note,Time
1,Amin7,A,0.0
2,Gmin7,G,1.5
3,Amin7,A,3.0
4,Dmin7,D,4.5
5,Gmin7,G,6.0
6,Fmin7,F,7.5
7,Gmin7,G,9.0
8,Emin7,E,10.5
8,A7,A,11.25
9,Dmin7,D,12.0
10,Ebmin7,Eb,13.5
10,Ab,Ab,14.25
11,Dbmaj7,Db,15.0
12,Dmin7,D,16.5
12,G7,G,17.25
13,Cmaj7,C,18.0
14,C#min7,C#,19.5
15,Amaj7,A,21.0
15,Bmin7,B,21.5
15,C#min7,C#,22.0
16,Dmin7,D,22.5
16,Emin7,E,23.0
16,Gmin7,G,23.5
