Measure,GreasyG,chord_note,Time
64,Bb7sus(07),Bb,126.0
64,F7,F,126.66666666666667
64,G7,G,127.33333333333333
65,Gmin7,G,128.0
66,Gmin,G,130.0
67,C7,C,132.0
68,C7,C,134.0
