Measure,Groovin',Time
1,E-1,0.0
7,E-1maj7,12.0
9,Amin7,16.0
10,D7,18.0
11,E-1maj7,20.0
13,Gmin7,24.0
14,C7,26.0
15,F7,28.0
17,Fmin7,32.0
18,B-17,34.0
19,Gmin7,36.0
20,F1min7,38.0
21,Fmin7,40.0
22,B-17,42.0
23,B-17,44.0
24,Fmin7,46.0
25,A-1min7,48.0
25,D-17,49.0
26,Bmaj7,50.0
27,Emaj7,52.0
28,Amaj7,54.0
29,Dmaj7,56.0
31,B-17,60.0
32,Fmin7,62.0
33,A-1min7,64.0
33,D-17,65.0
34,E-1maj7,66.0
35,Fmin7,68.0
35,B-17,69.0
