Measure,Hudson,Time
1,Eb,0.0
1,Db,1.0
2,Emin7,2.0
2,A7(#9),3.0
3,Dmin7,4.0
3,G7,5.0
4,Emin11,6.0
4,A7(#9),7.0
5,Eb,8.0
5,Db,9.0
6,Emin11,10.0
6,A7,11.0
7,Dmin7,12.0
7,G7,13.0
8,Emin11,14.0
8,A7(#9),15.0
9,Dmin7,16.0
9,G7,17.0
10,Emin7,18.0
10,A7,19.0
11,Dmin9,20.0
11,G7(#11),21.0
12,Emin11,22.0
12,A7(#9),23.0
13,Dmin9,24.0
14,Emin11,26.0
14,Eb7,26.5
14,Dmin7,27.0
14,Db9,27.5
15,Cmin7,28.0
15,F13,29.0
16,Bbmaj7,30.0
16,A7,31.0
17,D9,32.0
18,Emin11,34.0
18,Eb7,34.5
18,Dmin7,35.0
18,Db9,35.5
19,Cmin7,36.0
19,F13,37.0
20,Bbmaj7,38.0
20,A7,39.0
21,D9,40.0
22,Emin7,42.0
22,A7(#9),43.0
23,Dmin9,44.0
23,G7,45.0
24,Emin11,46.0
24,A7(#9),47.0
25,Dmin7,48.0
25,G7,49.0
26,Emin11,50.0
26,A7(#9),51.0
27,Dmin9,52.0
27,G7(#9),53.0
28,Emin11,54.0
28,A7,55.0
29,Dmin7,56.0
29,Eb,56.666666666666664
29,Db,57.333333333333336
30,Emin11,58.0
30,A7(#9),59.0
31,Dmin9,60.0
31,G7(#9),61.0
32,Emin11,62.0
32,A7(#9),63.0
33,Dmin7,64.0
33,G7,65.0
34,Emin11,66.0
34,A7(#9),67.0
35,Dmin9,68.0
35,G7(#9),69.0
36,Emin11,70.0
36,A7(#9),71.0
37,Dmin7,72.0
37,G7,73.0
38,Emin11,74.0
38,Eb7,74.5
38,Dmin7,75.0
38,Db9,75.5
39,Cmin7,76.0
39,F13,77.0
40,Bbmaj7,78.0
40,A7,79.0
41,D9,80.0
42,Emin11,82.0
42,Eb7,82.5
42,Dmin7,83.0
42,Db9,83.5
43,Cmin7,84.0
43,F13,85.0
44,Bbmaj7,86.0
44,A7,87.0
45,D9,88.0
46,A7,90.0
47,A7(b9),92.0
48,Ab7,94.0
49,Ab13,96.0
50,Db9,98.0
51,Db7(#9),100.0
52,Gbmaj7,102.0
52,Fmin7,102.5
52,Emaj7,103.0
52,Ebmin9,103.5
53,F#9,104.0
53,B9,104.66666666666667
53,E9,105.33333333333333
54,Dmin7,106.0
56,E9,110.0
58,Dmin7,114.0
