,Measure,Cissy Strut IV,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,C9,C,0.0,1741.7623291015625,673.1094970703125,2531.65966796875,1141.74072265625,3867.872314453125,693.3857421875,303.6651916503906,1484.2447509765625,435.6357116699219,399.3303527832031,1701.6414794921875,763.25732421875
1,2,C,C,2.0,2420.966064453125,505.064453125,323.248779296875,857.763916015625,3893.40625,772.1858520507812,513.966064453125,2932.257080078125,624.3229370117188,464.906982421875,2383.975341796875,969.5669555664062
2,3,Bb,Bb,4.0,626.5623168945312,105.43209838867188,15.668639183044434,15.804301261901855,28.49017333984375,12.663777351379395,31.4581298828125,104.0292739868164,29.764432907104492,56.15684127807617,28.09770965576172,93.9430923461914
3,3,F,F,5.0,76.95844268798828,186.4901123046875,840.1906127929688,208.92640686035156,276.0009765625,1098.272705078125,309.1275329589844,42.67594909667969,72.45601654052734,448.8831481933594,919.1564331054688,204.43138122558594
4,4,C,C,6.0,8885.4814453125,1684.1612548828125,1371.1697998046875,2474.581298828125,11804.8095703125,5440.328125,1978.5067138671875,8894.904296875,2013.1689453125,1486.4813232421875,3846.966064453125,2558.607177734375
5,6,C9,C,10.0,97215.8671875,25974.849609375,72232.421875,42114.23828125,134330.140625,31400.572265625,21247.248046875,120675.2109375,27235.294921875,41320.79296875,251346.25,57899.12109375
