,Measure,MeanOldWorld,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,G9,G,0.0,30.229110717773438,30.241531372070312,37.89775466918945,38.144954681396484,58.825714111328125,114.7323989868164,84.6906509399414,39.15040969848633,27.4841251373291,56.38261413574219,40.04903793334961,92.9156494140625
1,1,G13,G,0.3333333333333333,75.15074157714844,28.767656326293945,48.17635726928711,51.86384963989258,67.03280639648438,119.7492904663086,80.0146713256836,44.63138198852539,25.454721450805664,39.06760787963867,50.67482376098633,124.86251068115234
2,1,G9,G,0.6666666666666666,61.26231002807617,25.66746711730957,42.54668045043945,23.362747192382812,37.154537200927734,91.18819427490234,45.57620620727539,56.931827545166016,14.42562484741211,29.85257911682129,31.382314682006836,92.55770111083984
3,1,F9,F,1.0,120.99334716796875,53.63913345336914,60.34690475463867,114.33100128173828,80.48553466796875,57.648681640625,65.07067108154297,83.10256958007812,34.736236572265625,78.6788101196289,45.06757736206055,118.6451187133789
4,1,F13,F,1.3333333333333333,56.110260009765625,31.335830688476562,93.13604736328125,98.71402740478516,70.86458587646484,112.12213897705078,69.93717193603516,89.14911651611328,82.31844329833984,86.85763549804688,85.68264770507812,81.76505279541016
5,1,F9,F,1.6666666666666663,51.82561111450195,23.497167587280273,58.04401779174805,98.326171875,57.54350280761719,45.46418380737305,15.756220817565918,53.51028060913086,35.41224670410156,49.87837219238281,38.686012268066406,47.311431884765625
6,2,Eb9,Eb,2.0,85.90813446044922,168.3603057861328,113.18115997314453,154.5526580810547,169.35484313964844,262.8022155761719,160.1273193359375,212.6781005859375,64.31275177001953,52.753604888916016,181.8439483642578,127.9576187133789
7,2,Eb13,Eb,2.5,184.71348571777344,165.02674865722656,122.89559173583984,155.81805419921875,112.8233413696289,308.0083923339844,131.1911163330078,167.44866943359375,110.47025299072266,82.36270904541016,193.01673889160156,130.84410095214844
8,2,Eb9,Eb,3.0,272.5708923339844,152.5677032470703,80.34123992919922,113.2508316040039,234.6315460205078,197.5875701904297,219.13136291503906,113.25826263427734,88.2656021118164,118.63714599609375,64.339111328125,108.15392303466797
9,2,D9,D,3.5,74.9727554321289,31.425994873046875,39.017032623291016,43.0172119140625,117.58629608154297,86.7744140625,63.446231842041016,26.30354118347168,25.566923141479492,20.05150604248047,9.09068775177002,18.98415184020996
10,3,G9,G,4.0,47.1955680847168,41.496334075927734,44.725032806396484,36.296958923339844,80.01563262939453,121.52423095703125,117.53857421875,54.45808410644531,32.92190170288086,60.99190139770508,42.61405563354492,103.6710205078125
11,3,G13,G,4.333333333333333,94.5262451171875,33.656246185302734,56.467926025390625,67.92351531982422,65.51931762695312,113.07476806640625,76.63961029052734,42.02458190917969,29.452707290649414,41.415225982666016,50.935420989990234,122.217529296875
12,3,G9,G,4.666666666666667,79.02468872070312,31.219758987426758,46.013916015625,28.6517333984375,55.33916091918945,97.36495208740234,45.43910598754883,57.58335876464844,16.225244522094727,32.475250244140625,35.19437789916992,97.99076080322266
13,3,F9,F,5.0,123.88220977783203,58.02482986450195,64.71537017822266,116.5927963256836,74.87651824951172,50.186431884765625,61.0987434387207,80.76988983154297,35.704341888427734,74.9732666015625,43.925724029541016,115.888427734375
14,3,F13,F,5.333333333333333,56.72052001953125,32.4461555480957,95.19015502929688,100.43341064453125,70.9618911743164,117.4482650756836,76.52416229248047,87.12779998779297,79.7599105834961,84.8279800415039,85.13714599609375,82.7471694946289
