,Measure,Amsterdam After DarkII,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Eb/Db,Eb,0.0,79.3783187866211,183.74790954589844,309.6007080078125,958.151123046875,220.4991455078125,106.66423797607422,127.45174407958984,512.539794921875,110.36956787109375,114.6549072265625,560.6513671875,147.19981384277344
1,1,Eb,Eb,1.0,1445.70458984375,2167.91357421875,10054.9794921875,51467.27734375,8671.7197265625,2141.860595703125,3724.823974609375,22163.009765625,4106.96826171875,3715.4951171875,22478.806640625,5245.26708984375
2,9,Eb/Db,Eb,16.0,17.711673736572266,56.03646469116211,89.28280639648438,367.5298767089844,68.68486022949219,24.8763370513916,37.60112762451172,166.4713592529297,32.541160583496094,29.240434646606445,150.64181518554688,38.39995193481445
3,9,Eb,Eb,17.0,25.055051803588867,62.02510070800781,112.5234146118164,357.500244140625,82.5912094116211,35.650875091552734,36.059913635253906,169.32835388183594,66.93140411376953,62.72007751464844,336.32733154296875,67.2754135131836
4,10,Eb/Db,Eb,18.0,42.75648498535156,72.0897445678711,91.79400634765625,364.4493103027344,95.5322494506836,174.4707794189453,65.63814544677734,187.6548309326172,49.01323318481445,58.4355354309082,157.01022338867188,43.10373306274414
5,10,Eb,Eb,19.0,6429.99609375,28444.650390625,15821.7861328125,53613.73828125,10305.9208984375,6168.77197265625,5103.9384765625,24088.578125,11713.2626953125,11634.83203125,63956.40234375,11842.375
6,18,Abmin7,Ab,34.0,73.32057189941406,206.54112243652344,111.76175689697266,361.2873840332031,68.07662200927734,85.9884033203125,424.7580871582031,136.28663635253906,265.9192810058594,80.57318878173828,200.416015625,197.89581298828125
7,18,Db7,Db,35.0,131.08384704589844,191.2705841064453,45.505340576171875,90.51424407958984,140.4957733154297,687.9771118164062,136.0632781982422,85.5916748046875,198.54783630371094,72.63671112060547,67.70021057128906,312.2204895019531
8,19,B7,B,36.0,55.99936294555664,65.48987579345703,101.08999633789062,470.1425476074219,113.50589752197266,245.050048828125,434.7983703613281,123.7738037109375,140.70343017578125,144.27804565429688,72.60874938964844,131.5167999267578
9,19,Cmin7,C,37.0,230.14341735839844,56.75428771972656,80.91799926757812,375.2120361328125,94.15991973876953,45.51217269897461,74.1167984008789,205.43701171875,106.14200592041016,45.20058059692383,154.15736389160156,85.11248016357422
10,20,F7(#9),F,38.0,988.9985961914062,256.8576965332031,309.1493835449219,1531.1331787109375,607.3334350585938,651.1720581054688,352.302490234375,636.2034301757812,3526.680419921875,796.6522827148438,142.68370056152344,208.9584197998047
11,21,Bbmin7,Bb,40.0,285.5915832519531,178.26214599609375,72.24210357666016,60.47364807128906,115.921875,398.8393249511719,181.57603454589844,163.34205627441406,151.8572998046875,172.0874481201172,188.5647430419922,83.11143493652344
12,21,Eb7(#9),Eb,41.0,44.95500183105469,133.56764221191406,82.5350341796875,110.33849334716797,48.05409622192383,112.649658203125,173.1492156982422,93.0246810913086,50.28335189819336,195.32432556152344,176.8813018798828,42.70658493041992
13,22,Abmin7,Ab,42.0,89.90328216552734,89.4174575805664,132.5750732421875,413.3029479980469,96.65831756591797,220.07273864746094,521.4674682617188,152.28366088867188,220.27734375,233.12652587890625,1118.437255859375,432.9912414550781
14,22,Db7,Db,43.0,47.880496978759766,149.6864471435547,63.83749008178711,99.23126983642578,71.24427032470703,351.5145568847656,88.28424072265625,44.570220947265625,138.2347869873047,239.90162658691406,1391.7445068359375,295.33941650390625
15,23,Gbmaj7,Gb,44.0,67.8929214477539,232.8975067138672,55.539485931396484,44.076690673828125,85.54903411865234,421.5814514160156,292.2048034667969,92.73165130615234,390.3489685058594,124.2489013671875,140.9243927001953,50.96904373168945
16,23,B7,B,45.0,134.45750427246094,145.6375732421875,246.1280517578125,967.788818359375,204.48609924316406,328.83349609375,1066.1766357421875,200.405029296875,134.24856567382812,793.6713256835938,1102.986328125,658.07470703125
17,24,Fmin7,F,46.0,2233.117919921875,643.739501953125,642.3286743164062,2896.326171875,1238.9481201171875,1352.5782470703125,838.9924926757812,1142.611083984375,5138.85009765625,3195.7607421875,630.035888671875,775.3561401367188
18,25,Bb7,Bb,48.0,8279.3134765625,22250.083984375,35772.73828125,10894.85546875,14691.7822265625,70215.9140625,14975.7177734375,5964.20849609375,19978.607421875,17085.298828125,53733.796875,10308.2841796875
