,Measure,SirDuke,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,B,B,0.0,4805.4404296875,1581.23291015625,5318.44970703125,28998.2734375,4513.53515625,4896.91650390625,27821.8671875,5024.15966796875,1953.8831787109375,1180.5762939453125,6030.29833984375,29017.552734375
1,5,Bmaj7,B,8.0,353.1058654785156,194.521240234375,745.945068359375,3401.961669921875,585.1851196289062,708.76220703125,3742.789306640625,657.1301879882812,123.2491455078125,351.4750061035156,2175.557861328125,2055.23779296875
2,6,G#min7,G#,10.0,822.5905151367188,1280.85107421875,807.9048461914062,2791.377685546875,485.9120788574219,754.1421508789062,3963.682861328125,1085.3629150390625,1752.44287109375,425.4875183105469,761.7770385742188,3769.5185546875
3,7,G7,G,12.0,136.09422302246094,260.1026916503906,1121.9080810546875,339.37579345703125,320.0021667480469,1109.8837890625,460.0149230957031,470.1388854980469,130.22828674316406,100.78389739990234,107.08710479736328,386.377197265625
4,7,F#sus,F#,13.0,157.2750701904297,33.01945877075195,111.70177459716797,54.08705520629883,45.12510299682617,220.7777099609375,73.25690460205078,75.24797058105469,15.59493350982666,24.48515510559082,160.96022033691406,1038.6942138671875
5,8,F#7,F#,14.0,1080.1693115234375,4082.603271484375,666.5509643554688,98.30207061767578,75.91986846923828,472.955810546875,2072.98974609375,316.6858825683594,75.1731185913086,54.813018798828125,319.2483825683594,1796.7628173828125
6,9,Bmaj7,B,16.0,453.1236267089844,563.9183959960938,755.1806640625,3611.253662109375,1234.900634765625,961.4596557617188,4308.6376953125,731.1973266601562,141.91845703125,379.946533203125,2297.569091796875,2269.66552734375
7,10,G#min7,G#,18.0,906.883056640625,1438.5328369140625,839.3251342773438,2795.428466796875,524.9742431640625,797.5387573242188,4098.82275390625,1120.412353515625,1776.6219482421875,438.4027099609375,859.8203125,4309.46142578125
8,11,G7,G,20.0,487.0447692871094,1661.8394775390625,3626.185302734375,1021.0320434570312,903.2021484375,3947.990966796875,1935.6015625,1724.2120361328125,415.4585876464844,340.01861572265625,281.06097412109375,928.82080078125
9,12,F#7,F#,22.0,338.0497131347656,1270.1846923828125,264.26397705078125,232.1238250732422,1071.896728515625,593.518310546875,486.5196533203125,108.16278076171875,125.17833709716797,207.915771484375,596.4170532226562,246.429443359375
10,12,F7,F,23.0,700.7529296875,953.5877075195312,351.0057678222656,1119.291259765625,866.8851928710938,502.7173156738281,110.8728256225586,128.04058837890625,217.6221923828125,516.6267700195312,169.47125244140625,230.5894317626953
11,13,E9,E,24.0,142.63987731933594,105.44611358642578,196.8226318359375,262.2740173339844,141.4963836669922,93.06209564208984,283.3824768066406,118.47037506103516,148.04966735839844,72.02497100830078,103.95665740966797,534.1940307617188
12,13,D#9,D#,24.5,221.6417694091797,171.7158660888672,168.06092834472656,113.16963958740234,71.56627655029297,251.8261260986328,209.7989959716797,144.71295166015625,80.79104614257812,120.07415771484375,433.7115478515625,415.6884765625
13,13,D9,D,25.0,225.6349334716797,164.15576171875,87.93878173828125,124.75257110595703,247.78082275390625,195.3803253173828,190.1744384765625,117.689697265625,108.886962890625,292.1522521972656,170.27252197265625,141.9198760986328
14,13,Db9,Db,25.5,82.00354766845703,87.29837036132812,122.16979217529297,243.60569763183594,238.2620849609375,182.26841735839844,111.10926055908203,81.9778823852539,232.0998992919922,117.20941925048828,62.259857177734375,107.99276733398438
15,14,D9,D,26.0,294.60882568359375,158.3351593017578,197.19659423828125,338.9136047363281,462.2530212402344,310.7487487792969,297.3229675292969,108.99565887451172,166.43284606933594,488.1194763183594,137.23365783691406,191.8060760498047
16,14,D#9,D#,26.66666666666667,130.0333251953125,211.80531311035156,213.44395446777344,259.2324523925781,275.5213623046875,376.1734313964844,157.7792205810547,252.41058349609375,98.75967407226562,175.1000518798828,611.7337036132812,151.76292419433594
17,14,E9,E,27.33333333333333,102.5050048828125,81.81705474853516,124.62240600585938,147.927978515625,146.5662384033203,175.39466857910156,202.1465301513672,51.245121002197266,56.64961242675781,53.77433395385742,103.47463989257812,301.7822570800781
18,15,E9,E,28.0,112.97954559326172,87.38800811767578,199.26678466796875,214.4298858642578,139.1230010986328,145.706787109375,351.7030029296875,131.91519165039062,135.14141845703125,70.71096801757812,114.1940689086914,532.0211791992188
19,15,D#9,D#,28.5,176.9938201904297,176.10418701171875,154.3291778564453,118.0551528930664,70.291748046875,253.6388702392578,210.762939453125,151.0955047607422,84.7738265991211,125.3267822265625,469.2643737792969,417.4357604980469
20,15,D9,D,29.0,217.1647491455078,160.08120727539062,96.4329605102539,114.7188720703125,231.0051727294922,208.65496826171875,211.20947265625,112.2166976928711,109.46087646484375,288.4046936035156,168.70687866210938,141.32150268554688
21,15,Db9,Db,29.5,81.75373077392578,86.95572662353516,123.55343627929688,246.32456970214844,239.5538787841797,183.48973083496094,110.9024887084961,81.4459457397461,231.5582275390625,117.60941314697266,62.67578125,107.84417724609375
22,16,D9,D,30.0,80.72819519042969,46.4766845703125,62.901336669921875,97.5542221069336,111.90544891357422,92.45281982421875,65.0961685180664,24.95082664489746,37.6186408996582,90.85110473632812,34.86793899536133,64.17256927490234
23,16,D#9,D#,30.33333333333333,83.2259750366211,89.64337158203125,59.8522834777832,86.71443939208984,112.63299560546875,126.2408218383789,65.48834228515625,43.41307067871094,76.1767807006836,88.79216766357422,134.8092498779297,54.30830001831055
24,16,E9,E,30.66666666666667,72.5053939819336,74.58744049072266,143.37831115722656,64.63459014892578,58.0055046081543,75.93490600585938,126.90169525146484,81.8939208984375,91.4352798461914,35.81124496459961,84.17156219482422,166.99974060058594
25,16,F9,F,31.0,124.45755767822266,168.36785888671875,86.03226470947266,159.66278076171875,189.4206085205078,139.88523864746094,146.58287048339844,63.750579833984375,72.19212341308594,31.056352615356445,64.61319732666016,135.27978515625
26,16,F#9,F#,31.33333333333333,40.191287994384766,83.71427154541016,62.42866897583008,44.46742630004883,85.14313507080078,47.265254974365234,30.2036190032959,24.441835403442383,37.64876174926758,25.984811782836914,28.47112464904785,41.6400146484375
27,16,B,B,31.66666666666667,49.40118408203125,47.1987419128418,39.402034759521484,84.09905242919922,50.94801712036133,60.998111724853516,170.53610229492188,49.81550979614258,15.861442565917969,8.3424711227417,17.45338249206543,34.60097885131836
28,17,Bmaj7,B,32.0,730.690185546875,561.6682739257812,992.7116088867188,3316.688232421875,1241.3406982421875,1286.7320556640625,4838.35595703125,922.31982421875,207.1162872314453,437.8050537109375,2519.792236328125,2505.794921875
29,18,Fmin7,F,34.0,2243.673095703125,551.7496948242188,651.3375854492188,2490.443603515625,1249.3499755859375,1672.8048095703125,403.5075378417969,925.5410766601562,3177.914794921875,1187.131591796875,4043.7001953125,1119.8245849609375
30,19,Emaj7,E,36.0,139.9280548095703,51.866668701171875,68.67011260986328,420.2146301269531,985.8544311523438,212.6886749267578,72.19515228271484,118.76986694335938,459.036376953125,97.14881134033203,121.8076171875,550.7041625976562
31,19,D#min7,D#,37.0,25.75661277770996,27.52976417541504,22.10816192626953,89.95128631591797,182.78001403808594,62.74443435668945,120.4048080444336,30.273225784301758,42.02787399291992,20.137975692749023,41.62582778930664,66.53208923339844
32,20,C#min7,C#,38.0,222.13995361328125,482.1139221191406,177.4150848388672,819.21484375,1096.4366455078125,382.544921875,495.2473449707031,201.76708984375,415.5240783691406,126.2622299194336,289.1351013183594,522.7281494140625
33,20,F#sus,F#,39.0,441.0236511230469,545.2625122070312,134.14210510253906,180.1200714111328,234.38970947265625,320.3463134765625,1011.42529296875,210.9889373779297,208.718505859375,118.85259246826172,358.4994812011719,2143.225830078125
34,21,Bmaj7,B,40.0,337.3486328125,417.3277893066406,799.0761108398438,3449.55859375,624.1355590820312,718.197998046875,3462.469970703125,678.9199829101562,364.45703125,389.498046875,2124.60302734375,1637.5931396484375
35,22,Fmin7,F,42.0,2203.368408203125,540.4498901367188,565.8151245117188,1996.947265625,1111.8203125,1552.2236328125,388.7751770019531,934.5768432617188,3190.205322265625,1209.0982666015625,4218.97705078125,1117.3746337890625
36,23,Emaj7,E,44.0,137.95079040527344,47.53398132324219,66.65435791015625,414.3006896972656,985.9956665039062,212.56834411621094,74.85407257080078,117.8115005493164,449.9222106933594,95.73114776611328,118.2437744140625,540.5032958984375
37,23,D#min7,D#,45.0,122.33810424804688,539.7271728515625,305.1655578613281,995.02783203125,381.2259826660156,313.125,1064.592041015625,211.0090789794922,95.7437744140625,121.56954956054688,599.6786499023438,157.78480529785156
38,24,C#min7,C#,46.0,246.06446838378906,576.3320922851562,199.45606994628906,587.0011596679688,1020.243408203125,312.6393737792969,226.7368621826172,155.2189178466797,428.8762512207031,100.84729766845703,139.35916137695312,496.0782775878906
39,24,F#sus,F#,47.0,438.5954284667969,531.6338500976562,127.34937286376953,121.01102447509766,217.80474853515625,359.0737609863281,1121.0582275390625,224.0924530029297,206.468994140625,124.19103240966797,357.1672668457031,2154.509033203125
40,25,B,B,48.0,25384.619140625,61705.62109375,31606.1484375,79760.0546875,16165.6103515625,23915.4765625,126349.0,29667.212890625,52659.1875,13625.0576171875,22505.763671875,98871.1484375
