,Measure,Eddie Who,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Bb,Bb,0.0,43.875240325927734,125.6478042602539,580.115966796875,139.7091827392578,196.3776397705078,815.8715209960938,211.62449645996094,28.40831756591797,53.01773452758789,240.1309356689453,541.0322875976562,106.686279296875
1,1,E7(b5),E,1.0,135.40345764160156,135.28378295898438,771.7208862304688,386.439208984375,995.9464721679688,387.4601745605469,99.86573028564453,87.5721664428711,439.5142822265625,112.71810913085938,114.18567657470703,524.9246826171875
2,2,Eb7,Eb,2.0,61.0832405090332,252.48487854003906,189.06394958496094,469.7159729003906,184.79380798339844,52.9670524597168,48.636592864990234,205.1433868408203,71.05924987792969,59.78510665893555,251.1578826904297,79.22673034667969
3,2,C7,C,2.6666666666666665,15.756251335144043,46.213130950927734,41.20167922973633,133.4522247314453,61.058780670166016,17.601900100708008,9.472513198852539,57.36772537231445,16.26427459716797,9.488306999206543,31.903982162475586,13.392338752746582
4,2,F,F,3.333333333333333,178.1146240234375,38.63107681274414,30.472475051879883,95.67411041259766,307.2535705566406,84.1216049194336,26.09236717224121,97.6872787475586,50.27280044555664,39.23196792602539,114.93914031982422,68.17007446289062
5,3,Bb,Bb,4.0,535.4066772460938,265.2256774902344,697.185791015625,385.0335998535156,449.7827453613281,1008.9307250976562,251.5081329345703,118.47937774658203,82.31044006347656,261.8355407714844,592.3621826171875,224.3153076171875
6,3,E7(b5),E,5.0,188.0989990234375,147.69728088378906,786.7832641601562,373.4101867675781,1002.7350463867188,450.7944030761719,117.796875,89.4306869506836,437.762939453125,327.7826843261719,1625.8355712890625,729.9414672851562
7,4,Eb7,Eb,6.0,72.26044464111328,255.15562438964844,202.72021484375,480.1113586425781,191.6261749267578,89.24381256103516,60.50675582885742,205.0758819580078,77.14327239990234,109.23677825927734,588.3955688476562,130.00270080566406
8,4,C7,C,6.666666666666668,22.09556007385254,46.17544174194336,41.61433792114258,133.2205352783203,60.63920593261719,17.888504028320312,9.75946044921875,57.74434280395508,16.064008712768555,10.848163604736328,34.56522750854492,15.905611991882324
9,4,F,F,7.333333333333332,10705.4990234375,1945.5032958984375,563.8121337890625,1838.8709716796875,6469.61572265625,8658.2900390625,1582.9666748046875,2196.9423828125,1167.352294921875,4235.4560546875,10606.1787109375,3298.008056640625
