,Measure,A smooth One,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Bmin7,B,0.0,129.62461853027344,248.0612335205078,938.292236328125,293.7226867675781,101.170654296875,266.3254699707031,1191.684814453125,235.12559509277344,195.86920166015625,553.5325927734375,222.69415283203125,551.5379028320312
1,1,Bbmaj7,Bb,1.0,42.18350601196289,36.61458206176758,107.20809173583984,38.20401382446289,49.9180793762207,219.8084716796875,176.40504455566406,121.81096649169922,64.94794464111328,94.94339752197266,59.8788948059082,103.78694915771484
2,2,Fmaj7,F,2.0,2153.453369140625,561.37255859375,1058.31103515625,837.0078125,3872.9541015625,3649.381591796875,596.6536865234375,444.9424743652344,1039.8836669921875,4212.177734375,815.5326538085938,645.7225952148438
3,3,Bmin7,B,4.0,135.1692657470703,251.6834259033203,929.4696655273438,315.1607360839844,144.1236114501953,305.97772216796875,1232.1099853515625,243.63751220703125,198.5025177001953,546.3507080078125,222.3759002685547,542.2597045898438
4,3,Bbmaj7,Bb,5.0,46.4088249206543,39.15568542480469,106.9381332397461,38.75065231323242,59.05759048461914,251.6937255859375,172.02748107910156,120.54952239990234,65.3755874633789,96.0809555053711,59.97264099121094,102.69766235351562
5,4,Fmaj7,F,6.0,2171.972412109375,700.6329956054688,2133.458251953125,1003.4066772460938,3824.4345703125,3645.382080078125,602.7003784179688,447.1944274902344,761.9757690429688,2247.99560546875,532.0851440429688,648.5253295898438
6,5,Bmin7,B,8.0,135.0748291015625,253.50439453125,940.009033203125,317.1133117675781,144.20079040527344,305.9330749511719,1232.1309814453125,243.5806427001953,198.4595947265625,546.6314697265625,222.5674285888672,542.2445678710938
7,5,Bbmaj7,Bb,9.0,46.409332275390625,39.16437911987305,106.97101593017578,38.74517822265625,59.05841064453125,251.69544982910156,172.03111267089844,120.54468536376953,65.35523223876953,96.05242156982422,59.96453857421875,102.69869232177734
8,6,Fmaj7,F,10.0,645.1981201171875,191.4999237060547,409.3341979980469,272.8216247558594,1126.85400390625,1083.99560546875,189.2964630126953,147.57957458496094,283.03631591796875,813.1897583007812,194.95558166503906,212.8951416015625
9,6,Fmaj7,F,11.0,75.10163879394531,18.3430118560791,16.689781188964844,39.17351150512695,189.1597900390625,119.23553466796875,21.180561065673828,11.243156433105469,33.13251876831055,125.97859954833984,20.381750106811523,23.006803512573242
10,7,G7,G,12.0,407.1830749511719,186.94602966308594,410.11376953125,311.3243103027344,675.6400146484375,1123.5928955078125,501.3646545410156,499.2656555175781,163.1036834716797,166.93077087402344,233.7523956298828,1190.7537841796875
11,7,C7,C,13.0,533.9188842773438,221.83660888671875,689.3129272460938,406.8356018066406,1254.0283203125,466.8775634765625,144.45643615722656,466.0208435058594,171.8589630126953,339.3944091796875,550.7158813476562,303.69122314453125
12,8,Fmaj7,F,14.0,2019.70068359375,547.1419067382812,1230.603515625,800.1759643554688,3462.532470703125,1966.0181884765625,404.4112548828125,513.8553466796875,638.5636596679688,1710.4442138671875,466.2414245605469,617.6932373046875
13,9,Bmin,B,16.0,133.77427673339844,206.90977478027344,953.2549438476562,304.88287353515625,110.1212387084961,244.239501953125,1138.4661865234375,212.9974822998047,134.1744384765625,192.8803253173828,164.00953674316406,531.4398803710938
14,9,Bbmaj7,Bb,17.0,91.66951751708984,175.5236053466797,672.1111450195312,181.2569580078125,271.5341491699219,978.4778442382812,382.3232727050781,186.79998779296875,162.2873992919922,590.3573608398438,609.6176147460938,205.29383850097656
15,10,Fmaj7,F,18.0,2113.466552734375,449.994873046875,495.14013671875,810.3872680664062,3583.340087890625,2128.64013671875,433.1170349121094,452.9104919433594,946.9619140625,3812.765380859375,726.3811645507812,629.7688598632812
16,11,Bmin7,B,20.0,136.42001342773438,251.89198303222656,925.822021484375,319.0624084472656,148.631591796875,281.5336608886719,1223.2459716796875,247.23895263671875,200.7212677001953,550.9830932617188,220.13096618652344,539.0192260742188
17,11,Bbmaj7,Bb,21.0,45.657501220703125,38.205692291259766,107.449951171875,39.47282028198242,61.70567321777344,251.8074493408203,181.5173797607422,121.159912109375,65.25135803222656,96.67718505859375,59.754825592041016,103.4273681640625
18,12,Fmaj7,F,22.0,2171.364013671875,701.95751953125,2142.3671875,1005.21728515625,3823.937255859375,3645.7255859375,602.8956298828125,445.0809326171875,762.3698120117188,2248.46875,533.1543579101562,647.8973388671875
19,13,Bmin6,B,24.0,169.63014221191406,229.47727966308594,970.4815063476562,317.6587829589844,120.31986236572266,306.53253173828125,1218.5516357421875,291.090576171875,560.904296875,268.6609802246094,189.9493865966797,560.6326293945312
20,13,Bb6,Bb,25.0,96.42733001708984,158.74517822265625,696.309814453125,173.38043212890625,260.3083801269531,989.8508911132812,464.5277404785156,577.2622680664062,203.26800537109375,285.2675476074219,580.3447875976562,241.42144775390625
21,14,Fmaj7,F,26.0,2109.825927734375,448.86865234375,494.8104553222656,809.0048217773438,3581.1826171875,2130.032958984375,449.5245056152344,587.4874877929688,917.5707397460938,3423.450927734375,661.0083618164062,621.6056518554688
22,15,G7,G,28.0,374.8199157714844,192.1507110595703,388.7562561035156,240.029541015625,314.5783996582031,1186.9576416015625,460.8697204589844,473.5220642089844,124.72078704833984,106.0296859741211,228.0068817138672,1194.4400634765625
23,15,C7,C,29.0,555.9153442382812,224.8998260498047,689.352294921875,390.0128479003906,1140.9388427734375,426.8232421875,140.96661376953125,471.22021484375,171.04530334472656,341.5549621582031,540.9822387695312,303.1349182128906
24,16,Fmaj7,F,30.0,591.4334716796875,179.6026153564453,407.041015625,246.4888153076172,978.6311645507812,570.3621826171875,137.47398376464844,161.11135864257812,220.9622344970703,541.0979614257812,160.91842651367188,201.8824005126953
25,16,F7,F,31.0,572.0704956054688,142.80787658691406,249.2452392578125,1102.0279541015625,867.8969116210938,487.1512756347656,112.54683685302734,135.65394592285156,188.7481231689453,510.308349609375,145.94459533691406,163.60194396972656
26,17,Bbmaj7,Bb,32.0,442.0984191894531,606.5850830078125,2187.376708984375,1348.76220703125,1113.8145751953125,3539.267822265625,959.7802734375,1398.6470947265625,472.6070861816406,1674.8895263671875,2039.0538330078125,406.9144287109375
27,18,Bmin7,B,34.0,372.9549560546875,578.6644897460938,2074.693603515625,770.1210327148438,272.8946838378906,883.34765625,4217.783203125,1951.59765625,452.2388916015625,1251.6256103515625,606.1533813476562,1864.3341064453125
28,19,Fmaj7,F,36.0,2345.888916015625,447.9320068359375,203.6412353515625,736.3905639648438,3403.507080078125,1665.1754150390625,358.3930358886719,345.7732849121094,600.4932250976562,1786.89990234375,798.9098510742188,702.5263671875
29,20,Cmin7,C,38.0,498.9912414550781,147.97142028808594,307.7205810546875,954.1273803710938,316.733642578125,90.50716400146484,158.0294647216797,886.5048217773438,163.72259521484375,116.0716781616211,560.5242919921875,231.6454315185547
30,20,F7,F,39.0,569.9331665039062,140.24900817871094,251.41802978515625,1108.540771484375,593.5919799804688,409.739013671875,116.7570571899414,188.38482666015625,197.8493194580078,528.5606079101562,183.36163330078125,157.89468383789062
31,21,Bbmaj7,Bb,40.0,438.9167785644531,598.1251220703125,2136.924072265625,1285.7418212890625,1040.3731689453125,3501.612548828125,945.365478515625,1309.9078369140625,458.6706237792969,1674.185546875,1958.2359619140625,386.6570129394531
32,22,Bdim,B,42.0,397.8333740234375,409.0977478027344,2045.6412353515625,763.5317993164062,728.740966796875,3707.314453125,1126.763916015625,1374.2005615234375,287.6851501464844,305.3591613769531,415.1153869628906,1844.3980712890625
33,23,F6,F,44.0,558.4161987304688,234.67674255371094,662.9257202148438,173.60508728027344,360.63623046875,1025.07666015625,195.6210479736328,75.58211517333984,217.24281311035156,1258.451171875,227.59300231933594,117.13378143310547
34,23,D7(#9),D,45.0,600.9182739257812,203.751953125,311.24713134765625,379.9923400878906,559.8030395507812,1176.9168701171875,669.6183471679688,246.7503204345703,231.4258575439453,669.059326171875,197.97027587890625,171.57110595703125
35,24,G7,G,46.0,383.23095703125,159.7058563232422,319.3031311035156,221.91261291503906,360.0299072265625,1075.4083251953125,666.0692749023438,624.9961547851562,214.6576690673828,566.16455078125,503.9172058105469,623.2056274414062
36,24,C7,C,47.0,563.644775390625,160.7864227294922,231.2795867919922,333.0151062011719,1262.4888916015625,417.4458923339844,270.6030578613281,1378.8016357421875,289.44952392578125,142.78651428222656,512.2843017578125,323.44244384765625
37,25,Bmin7,B,48.0,815.3538208007812,316.78326416015625,740.2219848632812,259.6955871582031,217.7908477783203,356.5309753417969,1249.2003173828125,312.7221374511719,210.2733917236328,550.1292724609375,245.0205841064453,710.2694702148438
38,25,Bbmaj7,Bb,49.0,92.1168441772461,47.90397644042969,114.53592681884766,47.176509857177734,75.42723846435547,218.3611602783203,186.18377685546875,128.16636657714844,66.49531555175781,96.61540985107422,63.82993698120117,109.14593505859375
39,26,Fmaj7,F,50.0,2253.203369140625,803.9487915039062,2653.46337890625,1036.05029296875,3841.946533203125,3652.2939453125,633.4447021484375,489.37841796875,1060.1348876953125,4224.97998046875,823.3579711914062,666.2496337890625
40,27,Bmin7,B,52.0,134.51268005371094,260.0372314453125,962.326416015625,323.805419921875,147.08993530273438,305.63787841796875,1226.727783203125,242.63609313964844,199.76788330078125,549.1014404296875,225.78648376464844,543.665283203125
41,27,Bbmaj7,Bb,53.0,45.900150299072266,41.085357666015625,116.8344497680664,40.92821502685547,58.90237045288086,251.5549774169922,171.9807891845703,121.38519287109375,65.08043670654297,95.94487762451172,59.73830795288086,102.86358642578125
42,28,Fmaj7,F,54.0,2190.086181640625,974.9053344726562,4143.810546875,1280.8331298828125,3829.671142578125,3647.4580078125,608.1847534179688,437.0419921875,757.0491333007812,2247.6552734375,533.2260131835938,650.8768920898438
43,29,Bmin7,B,56.0,135.17051696777344,258.4800109863281,961.8193359375,319.0957946777344,144.5068817138672,306.4521179199219,1233.1080322265625,243.30137634277344,198.66961669921875,547.9885864257812,223.35044860839844,542.079833984375
44,29,Bbmaj7,Bb,57.0,46.33658218383789,39.90459060668945,112.29007720947266,39.596309661865234,59.219757080078125,251.76683044433594,171.8986358642578,120.43647003173828,65.6014175415039,96.0843505859375,60.26123046875,102.75910186767578
45,30,Fmaj7,F,58.0,649.456298828125,258.3262023925781,859.0111694335938,330.2087707519531,1128.172607421875,1084.6143798828125,188.4390106201172,149.09872436523438,284.2970886230469,813.24609375,196.15138244628906,213.9930419921875
46,30,Fmaj7,F,59.0,75.62732696533203,21.73695182800293,36.28670883178711,41.56184768676758,189.57769775390625,119.30746459960938,21.40871238708496,11.471259117126465,33.215675354003906,126.10639190673828,20.597026824951172,23.444231033325195
47,31,G7,G,60.0,536.383544921875,176.7695770263672,348.1078796386719,298.2416687011719,677.8889770507812,1127.0198974609375,496.0626525878906,514.9285278320312,169.2628936767578,169.6687774658203,235.27467346191406,1231.54541015625
48,31,C7,C,61.0,597.3538208007812,217.20941162109375,646.8406372070312,375.5269775390625,1246.6383056640625,464.4956970214844,146.92105102539062,466.3780822753906,173.00584411621094,341.0625,546.2396240234375,318.16461181640625
49,32,Fmaj7,F,62.0,6169.974609375,1575.93212890625,3433.45703125,2339.473388671875,10506.3642578125,5914.15380859375,1078.4793701171875,1356.4522705078125,1659.5333251953125,4372.10205078125,1191.761474609375,1782.87451171875
