,Measure,More Soul Than soulful,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,G7,G,0.0,820.0419921875,605.3427124023438,2017.1318359375,1067.4659423828125,1391.0487060546875,7048.64501953125,2424.13720703125,3080.312744140625,605.6704711914062,519.1600952148438,776.4131469726562,3614.501953125
1,2,C7,C,3.0,3198.318359375,668.3704833984375,541.8314208984375,1463.9132080078125,7383.619140625,1397.822265625,556.36279296875,2856.876953125,777.1001586914062,622.1823120117188,3156.471435546875,1445.0106201171875
2,3,G7,G,6.0,809.8867797851562,604.197509765625,2039.5555419921875,1061.562744140625,1444.8154296875,7040.02587890625,2388.77880859375,3035.209716796875,598.8610229492188,521.8674926757812,801.12255859375,3632.862060546875
3,4,C7,C,9.0,3203.958740234375,669.8262329101562,542.7579956054688,1463.3291015625,7375.3984375,1396.8350830078125,557.3701782226562,2863.3466796875,778.9572143554688,624.21484375,3169.3193359375,1448.005859375
4,5,G7,G,12.0,963.3408203125,852.8953247070312,3564.9189453125,1330.5150146484375,1506.8363037109375,7104.90283203125,2753.141357421875,5014.76171875,956.7138671875,882.5819702148438,903.2968139648438,3740.506103515625
5,6,C7,C,15.0,3341.638916015625,854.4464721679688,1731.4185791015625,1652.0330810546875,7446.61865234375,1450.4989013671875,985.895263671875,5558.74365234375,1254.137451171875,892.5407104492188,3239.078857421875,1485.208984375
6,7,G7,G,18.0,963.5748901367188,857.8178100585938,3613.743408203125,1341.3486328125,1508.6004638671875,7112.15771484375,2812.083251953125,5561.18212890625,1052.515869140625,883.3988647460938,903.49267578125,3743.634521484375
7,8,C7,C,21.0,3341.6171875,854.4513549804688,1731.40771484375,1652.0662841796875,7446.623046875,1450.50146484375,985.8838500976562,5558.77490234375,1254.1527099609375,892.533447265625,3239.063232421875,1485.2183837890625
8,9,A7,A,24.0,779.331298828125,3432.190185546875,787.1345825195312,1139.820068359375,5377.95458984375,1427.1949462890625,635.8280639648438,3605.732421875,1733.6646728515625,2882.933349609375,572.6517944335938,476.8938293457031
9,10,D7,D,27.0,4055.154296875,1538.7908935546875,3608.731689453125,693.9479370117188,400.3702087402344,1314.0828857421875,7038.83837890625,1237.188720703125,424.9066162109375,2245.697998046875,505.3690490722656,667.6282348632812
10,11,A7,A,30.0,761.6011352539062,3440.246337890625,815.787841796875,1152.245361328125,5403.97021484375,1401.1170654296875,656.6896362304688,3108.071533203125,1607.4482421875,2786.219482421875,534.1172485351562,464.3823547363281
11,12,D7,D,33.0,3946.5478515625,1522.462890625,3615.209716796875,699.1021118164062,413.7196044921875,1293.0977783203125,6962.55419921875,1226.7608642578125,427.1463317871094,2258.521728515625,499.0124206542969,646.8372192382812
12,13,A7,A,36.0,804.1791381835938,3498.249755859375,984.4401245117188,1281.34521484375,5851.0234375,1498.5853271484375,685.2677612304688,3161.642822265625,2027.7017822265625,5114.26220703125,888.749267578125,516.6484985351562
13,14,D7,D,39.0,3891.849853515625,1547.2108154296875,3759.5830078125,891.74658203125,1620.30126953125,1540.3577880859375,7023.79296875,1264.4803466796875,1012.2339477539062,5453.177734375,966.849609375,677.1729125976562
14,15,A7,A,42.0,797.466064453125,3493.194580078125,984.2863159179688,1274.81640625,5870.81787109375,1501.2537841796875,683.4414672851562,3172.46484375,2170.741455078125,5852.76171875,987.3042602539062,514.7256469726562
15,16,D7,D,45.0,3898.2509765625,1547.8736572265625,3758.865234375,891.763671875,1620.7196044921875,1540.8199462890625,7023.97216796875,1264.4710693359375,1012.1640625,5453.00244140625,966.8058471679688,678.0858764648438
16,17,E7,E,48.0,769.7695922851562,598.9326782226562,3355.994384765625,1753.4208984375,6380.72998046875,1080.0885009765625,397.3515625,449.6338806152344,2620.496826171875,1466.10986328125,731.4970703125,3566.072021484375
17,18,A7,A,51.0,759.3607788085938,3412.772216796875,772.1396484375,1142.9456787109375,5364.15380859375,1385.6177978515625,605.7861328125,3086.6728515625,1672.9219970703125,2868.306884765625,541.7327270507812,456.361572265625
18,19,E7,E,54.0,773.587646484375,741.4011840820312,4067.609619140625,1853.8697509765625,6371.80078125,1067.142822265625,327.4027099609375,446.7471008300781,2419.1875,542.4853515625,621.6476440429688,3560.851806640625
19,20,A7,A,57.0,768.56005859375,3438.907958984375,767.4865112304688,1138.2056884765625,5368.67041015625,1390.8321533203125,592.560302734375,3082.038818359375,1675.97509765625,2900.814697265625,547.532958984375,458.3657531738281
20,21,E7,E,60.0,902.7941284179688,749.1336059570312,4054.999755859375,1917.6917724609375,6711.18896484375,1144.4417724609375,344.18896484375,456.7881164550781,2484.046875,694.7915649414062,743.8336791992188,4176.470703125
21,22,A7,A,63.0,943.3012084960938,3452.1962890625,789.6270141601562,1208.4215087890625,5722.72216796875,1472.8087158203125,620.923095703125,3100.032958984375,1730.4547119140625,3017.993896484375,689.7044067382812,1223.5491943359375
22,23,E7,E,66.0,905.1746215820312,747.16162109375,4031.2919921875,1919.3963623046875,6734.16015625,1148.38525390625,344.0342102050781,456.6025390625,2484.251220703125,694.9235229492188,745.8842163085938,4182.98486328125
23,24,A7,A,69.0,2331.549072265625,9137.5029296875,1999.2060546875,3289.548095703125,16821.283203125,3927.757568359375,1519.2938232421875,7896.78125,4624.6875,7621.32763671875,1694.1197509765625,2749.322998046875
