,Measure,HustlerTheII,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Dmin7,D,0.0,2003.9808349609375,755.82861328125,1914.7587890625,418.3873291015625,786.308349609375,3696.315673828125,848.7418823242188,196.87770080566406,271.2653503417969,1855.25048828125,4582.13720703125,967.2656860351562
1,2,C#min7,C#,2.0,715.174560546875,1708.1563720703125,424.4510192871094,762.149169921875,3457.289306640625,1109.5008544921875,295.75885009765625,251.6749267578125,1333.6524658203125,918.3662719726562,4774.625,2520.272705078125
2,3,Cmin7,C,4.0,1791.2073974609375,516.400146484375,882.0028686523438,3166.817626953125,971.02978515625,392.7119445800781,330.6935729980469,1485.31787109375,339.8194885253906,686.923583984375,4288.60205078125,1128.1131591796875
3,4,Bmin7,B,6.0,1965.0762939453125,2549.250732421875,9843.2578125,3769.405517578125,1240.240966796875,3982.34375,19588.865234375,3208.023681640625,1215.9957275390625,8486.1767578125,22012.263671875,11956.8193359375
4,7,Dmin7,D,12.0,27046.28125,12261.0380859375,52567.734375,9210.0263671875,3433.432861328125,14699.07421875,7150.54736328125,29547.359375,6494.99169921875,4600.0185546875,2245.91796875,4411.02392578125
5,15,G7/G,G,28.0,290.1913757324219,543.7141723632812,3306.0498046875,572.8864135742188,144.4034881591797,328.4971008300781,257.3065185546875,722.7199096679688,201.69032287597656,190.32911682128906,208.21685791015625,1020.690185546875
6,16,G,G,30.0,332.22174072265625,460.0735778808594,2430.492431640625,616.82275390625,512.9320678710938,1667.9942626953125,714.7088012695312,857.139892578125,261.47576904296875,220.77867126464844,243.02870178222656,999.6852416992188
7,17,G7,G,32.0,292.0137634277344,547.9601440429688,3303.6435546875,570.6264038085938,144.3865509033203,329.1748962402344,257.4540100097656,729.9871215820312,202.26109313964844,189.9151611328125,208.53260803222656,1027.1165771484375
8,18,G,G,34.0,102.9288558959961,197.93115234375,1034.5064697265625,269.9898376464844,331.14849853515625,1515.9241943359375,513.8299560546875,1239.877197265625,300.2419128417969,337.84075927734375,829.7649536132812,209.109619140625
9,19,Bb,Bb,36.0,131.7530517578125,32.6176872253418,74.36278533935547,21.77838134765625,52.20729064941406,291.882568359375,71.17049407958984,100.55563354492188,30.451234817504883,71.24928283691406,26.809785842895508,63.968509674072266
10,19,F,F,37.0,46.16177749633789,58.29233932495117,294.5344543457031,53.39992904663086,42.82004165649414,198.2250213623047,123.74020385742188,592.6419677734375,119.09896850585938,67.76679229736328,25.273958206176758,72.93352508544922
11,20,G,G,38.0,284.0930480957031,80.60677337646484,60.72760009765625,39.21250915527344,149.15101623535156,402.5348205566406,151.36753845214844,502.03466796875,259.0014953613281,1128.77099609375,205.89317321777344,69.1093978881836
12,20,F,F,39.0,236.9840850830078,95.5606460571289,69.27415466308594,166.59425354003906,756.283447265625,495.4636535644531,113.10631561279297,285.8818664550781,302.9537658691406,1633.7796630859375,270.59185791015625,87.31810760498047
