,Measure,OnTheSunnySideOfTheStreet,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Cmaj7,C,0.0,38.4155387878418,34.57086181640625,181.0370635986328,96.88848114013672,419.4424133300781,78.30303192138672,49.13862991333008,41.08220291137695,77.14842224121094,20.607088088989258,13.680521965026855,61.6269645690918
1,2,E7,E,2.0,104.78005981445312,38.40720748901367,200.4946746826172,151.4815673828125,516.4329223632812,98.97667694091797,450.2767333984375,3278.682861328125,527.2759399414062,26.921388626098633,24.353309631347656,110.41161346435547
2,3,F6,F,4.0,29.005006790161133,19.987262725830078,77.63325500488281,217.71144104003906,882.468017578125,168.23118591308594,12.081497192382812,34.83422088623047,110.54776000976562,37.087772369384766,21.327678680419922,76.9393081665039
3,4,G7,G,6.0,22.202177047729492,5.227639675140381,8.271444320678711,4.931905746459961,34.7429313659668,137.28306579589844,26.64664649963379,6.481884002685547,137.68768310546875,896.6116333007812,119.16837310791016,6.231069087982178
4,4,G#dim7,G#,7.0,80.59941101074219,51.12215805053711,175.73638916015625,128.30398559570312,200.77227783203125,660.3825073242188,212.3822479248047,271.4720458984375,84.09867858886719,41.58422088623047,79.48882293701172,355.4917297363281
5,5,Amin7,A,8.0,154.7706756591797,343.244384765625,2002.939453125,503.5321044921875,283.4449768066406,1344.2425537109375,266.9294128417969,107.87881469726562,287.4026794433594,123.6482162475586,144.69471740722656,611.3771362304688
6,6,D7,D,10.0,548.6754150390625,241.06690979003906,815.4650268554688,253.68138122558594,466.9912109375,158.49171447753906,99.33890533447266,249.04795837402344,67.30439758300781,30.24932861328125,36.80775833129883,181.57460021972656
7,7,Dmin7,D,12.0,22.81597900390625,9.3751220703125,27.358041763305664,12.388049125671387,11.146185874938965,26.999204635620117,65.4006118774414,31.193435668945312,95.29547119140625,27.80413818359375,3.6607348918914795,8.466059684753418
8,7,G7,G,13.0,495.4327697753906,161.00535583496094,321.56689453125,84.36255645751953,211.75636291503906,687.3184204101562,152.91941833496094,43.71354293823242,231.699462890625,1580.58203125,246.77464294433594,99.43279266357422
9,8,Cmaj7,C,14.0,96.23849487304688,68.7629623413086,278.2608337402344,151.25291442871094,278.77935791015625,711.9658813476562,255.45281982421875,279.7735595703125,108.4378662109375,94.06815338134766,92.5167236328125,376.2273254394531
10,8,G7,G,15.0,418.1919250488281,120.168701171875,176.35333251953125,164.09815979003906,725.5205078125,280.6413879394531,174.7352752685547,575.6522216796875,123.23961639404297,43.67417907714844,147.61871337890625,711.89404296875
