,Measure,NewDeal,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,G9,G,0.0,1246.2220458984375,1221.162353515625,3574.550048828125,1845.3502197265625,2357.817138671875,10922.7783203125,4922.17822265625,14457.2490234375,2887.1474609375,3595.675537109375,1598.3443603515625,5625.32470703125
1,3,G9,G,4.0,2075.77392578125,2036.568359375,6332.015625,3094.697998046875,4007.547607421875,19302.681640625,8674.935546875,27562.978515625,5279.193359375,6091.07275390625,2721.1181640625,9686.5986328125
2,6,G9,G,10.0,470.2992248535156,473.4677429199219,1204.0303955078125,665.4276733398438,861.825927734375,3724.218994140625,1422.0911865234375,1738.8507080078125,512.1925659179688,1309.4522705078125,589.4514770507812,1945.67236328125
3,7,Ebmaj7,Eb,12.0,171.8844451904297,511.14013671875,3194.457275390625,3484.509033203125,646.4815063476562,381.6612243652344,342.6291198730469,1492.6182861328125,340.0668640136719,716.9037475585938,4199.72314453125,794.43310546875
4,8,Fmaj7,F,14.0,2117.705810546875,456.7744140625,402.6800842285156,846.9130859375,3351.5263671875,1659.86328125,869.5126342773438,4411.16748046875,1232.223876953125,1799.5084228515625,853.6281127929688,596.2100830078125
5,9,G7,G,16.0,523.9795532226562,356.6656494140625,1069.6265869140625,664.416748046875,846.5311889648438,3816.093017578125,1350.85791015625,1683.2672119140625,350.6905822753906,289.60107421875,436.9294738769531,1893.4935302734375
6,10,G9,G,18.0,497.7994689941406,474.3644714355469,1180.3687744140625,688.8610229492188,874.5042114257812,3668.4169921875,1422.4576416015625,1723.5018310546875,512.5946655273438,1310.6641845703125,593.0963745117188,1980.7640380859375
7,11,Ebmaj7,Eb,20.0,174.56544494628906,515.0208740234375,3202.362548828125,3494.23828125,647.3592529296875,382.3193359375,343.9529113769531,1499.4677734375,340.8210754394531,716.7373657226562,4199.38623046875,795.5606079101562
8,12,Fmaj7,F,22.0,2112.660888671875,455.590576171875,402.7474670410156,846.9783325195312,3346.086669921875,1655.5894775390625,869.810546875,4413.5244140625,1232.79052734375,1799.0941162109375,853.856201171875,595.3585815429688
9,13,G7,G,24.0,523.9741821289062,356.6630859375,1069.6212158203125,664.4114379882812,846.5297241210938,3816.099365234375,1350.8583984375,1683.26953125,350.6911315917969,289.5997009277344,436.9291687011719,1893.4888916015625
10,14,C7,C,26.0,1883.884765625,406.2370910644531,496.5791015625,848.0684204101562,3866.203857421875,788.988037109375,709.266845703125,4485.22412109375,885.1354370117188,368.1179504394531,1731.998046875,885.1769409179688
11,15,Bbmaj7,Bb,28.0,298.7157287597656,669.8494262695312,2889.176025390625,728.0554809570312,906.4568481445312,3498.046875,812.67041015625,417.0080871582031,368.3978271484375,1718.80859375,2000.60302734375,384.0075988769531
12,16,G9,G,30.0,2775.3271484375,2299.983154296875,6589.466796875,3645.522705078125,5261.0986328125,25151.939453125,10954.94921875,34768.8671875,6610.306640625,7442.02734375,3757.3251953125,12005.3515625
