,Measure,Cool Struttin',chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,2,F7,F,2.0,181.91058349609375,53.5605354309082,91.7859115600586,434.6112365722656,190.8192138671875,601.3373413085938,123.9417495727539,56.09061050415039,280.4692687988281,159.44375610351562,108.98575592041016,55.995113372802734
1,3,Bb7,Bb,4.0,29.741294860839844,33.55439376831055,296.0525207519531,1610.98486328125,376.7620544433594,433.4810485839844,79.64044952392578,17.162717819213867,43.937042236328125,19.972761154174805,18.240089416503906,14.146781921386719
2,4,F7,F,6.0,657.0740356445312,149.9389190673828,174.9292755126953,736.270263671875,259.1927795410156,272.66778564453125,70.83392333984375,246.83689880371094,74.86819458007812,45.158565521240234,41.32625961303711,113.7221908569336
3,5,F7,F,8.0,184.1781463623047,56.47854995727539,99.52108764648438,435.9696350097656,192.5735626220703,620.4761962890625,128.2080535888672,57.80961990356445,284.96759033203125,160.8030242919922,110.17791748046875,56.45548629760742
4,6,Bb7,Bb,10.0,93.98351287841797,116.94808197021484,524.9259643554688,187.29193115234375,227.5193634033203,1200.165771484375,290.73956298828125,76.17583465576172,408.0533447265625,377.8560791015625,111.10672760009766,90.00930786132812
5,7,Bb7,Bb,12.0,47.5479621887207,41.848812103271484,126.81194305419922,85.66187286376953,141.71063232421875,791.7411499023438,163.40457153320312,64.8149642944336,406.64453125,191.40240478515625,197.0211944580078,50.67298889160156
6,8,F7,F,14.0,654.4235229492188,150.92706298828125,178.12457275390625,729.64501953125,254.18841552734375,270.2746887207031,81.70097351074219,248.1143035888672,73.6135482788086,45.0404167175293,40.940982818603516,112.681884765625
7,9,D7,D,16.0,91.29930877685547,32.84440231323242,107.51751708984375,61.88457107543945,26.34539794921875,74.04783630371094,199.72601318359375,46.513214111328125,25.43366241455078,48.22471237182617,12.178890228271484,22.672365188598633
8,10,G7,G,18.0,120.2349624633789,49.33528137207031,190.30474853515625,175.3773956298828,119.5815200805664,481.7189636230469,314.9265441894531,623.4895629882812,1479.8304443359375,312.85009765625,506.6073303222656,518.495849609375
9,11,C7,C,20.0,157.23245239257812,71.39469146728516,222.6332244873047,226.49391174316406,521.2959594726562,345.7838439941406,88.17914581298828,286.9864807128906,1489.5145263671875,314.5794677734375,78.28144073486328,64.54534912109375
10,12,F7,F,22.0,779.8677368164062,296.6245422363281,602.1248168945312,498.7353820800781,161.6579132080078,335.9015197753906,1163.359375,270.1833190917969,119.72992706298828,632.072021484375,1507.34912109375,360.9568786621094
11,12,D7,D,23.0,246.60694885253906,314.0915222167969,436.35498046875,305.8932189941406,358.1884765625,1191.8773193359375,604.279296875,664.4584350585938,1292.57275390625,310.9006042480469,157.5910186767578,576.0929565429688
12,13,G7,G,24.0,845.3861694335938,194.37469482421875,174.43902587890625,339.77130126953125,1175.2852783203125,422.0433654785156,150.59788513183594,587.6021728515625,146.69393920898438,117.9986572265625,521.284912109375,342.7198181152344
13,13,C7,C,25.0,113.03760528564453,174.28179931640625,664.4389038085938,166.08018493652344,382.8495788574219,889.0198364257812,393.7222900390625,596.0263061523438,164.6101531982422,342.614013671875,616.375732421875,153.51893615722656
14,14,Gmin7,G,26.0,518.3291625976562,174.1901397705078,392.4843444824219,333.0962219238281,1149.0457763671875,424.0002746582031,149.8679656982422,468.2721862792969,124.48859405517578,196.92405700683594,562.1559448242188,265.8982849121094
15,14,C7,C,27.0,264.508056640625,79.03347778320312,153.21044921875,246.33465576171875,1125.6053466796875,336.7515869140625,99.96991729736328,178.54656982421875,44.480899810791016,51.71769714355469,175.62847900390625,101.78678131103516
