,Measure,Cryin Blues,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,2,F7,F,2.0,205.1568145751953,232.7285919189453,985.3292846679688,666.6510620117188,448.5499572753906,1695.3385009765625,432.6400451660156,240.38104248046875,699.768310546875,479.0641784667969,967.5556030273438,214.47718811035156
1,3,Bb7,Bb,4.0,890.4853515625,248.6709442138672,424.2132873535156,2064.263427734375,951.1343383789062,834.544189453125,195.73211669921875,252.75779724121094,300.6888122558594,821.02783203125,245.0100555419922,236.03041076660156
2,4,F7,F,6.0,931.5596313476562,236.31797790527344,347.5150146484375,1633.7044677734375,868.6035766601562,823.5460815429688,188.5583038330078,392.8936462402344,1793.61083984375,1073.508056640625,216.03961181640625,226.48394775390625
3,5,F7,F,8.0,157.1519012451172,221.3124542236328,951.6315307617188,423.499755859375,361.3458251953125,1442.5865478515625,378.5400390625,210.7579803466797,1093.5008544921875,560.7739868164062,889.9934692382812,177.8587188720703
4,6,Bb7,Bb,10.0,196.64031982421875,861.1486206054688,503.062744140625,1495.1287841796875,396.6416931152344,510.6922607421875,233.1505126953125,755.3429565429688,219.06683349609375,232.79803466796875,899.41162109375,238.08197021484375
5,7,Eb7,Eb,12.0,895.8222045898438,280.9480895996094,419.4025573730469,2081.206787109375,926.62939453125,596.6137084960938,160.82080078125,274.5648498535156,283.13238525390625,806.4789428710938,238.09913635253906,230.67254638671875
6,8,F7,F,14.0,932.0652465820312,238.72035217285156,353.3141174316406,1625.8331298828125,877.6182250976562,907.2066040039062,200.09014892578125,389.5891418457031,1728.42041015625,1060.1427001953125,217.2130889892578,227.2310333251953
7,9,F7,F,16.0,474.862060546875,1220.749755859375,349.130859375,714.4450073242188,491.8689880371094,1912.1107177734375,389.7447814941406,316.2811279296875,1280.66796875,303.2735290527344,236.70440673828125,891.453857421875
8,10,Db7,Db,18.0,134.28761291503906,221.24574279785156,596.0794067382812,538.5525512695312,416.7658996582031,1389.3037109375,540.7300415039062,853.2362670898438,383.5870666503906,560.6843872070312,1973.5604248046875,372.6938171386719
9,11,Gmin7,G,20.0,148.3726348876953,46.45035934448242,49.68570327758789,141.3423614501953,417.2797546386719,365.2449035644531,84.9939193725586,136.46380615234375,42.95039749145508,80.11980438232422,94.31429290771484,59.31467056274414
10,11,C7,C,21.0,172.42909240722656,41.590206146240234,73.22608947753906,337.1933898925781,175.41693115234375,170.75872802734375,125.09931182861328,85.52405548095703,288.2025146484375,173.23265075683594,606.8135375976562,248.0559539794922
11,12,F7,F,22.0,935.7363891601562,259.456298828125,350.787841796875,1552.6468505859375,988.2493286132812,874.615234375,197.2491455078125,208.6209716796875,254.1702880859375,813.8887329101562,282.52618408203125,243.3167266845703
12,13,F7,F,24.0,0.16310659050941467,0.13508374989032745,0.5655115246772766,2.2030017375946045,0.7509308457374573,0.6794650554656982,0.1345081925392151,0.1466677188873291,0.05187986418604851,0.05355127528309822,0.11812639981508255,0.13730953633785248
