,Measure,WineLight,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,2,Cmin7,C,2.0,6920.79052734375,1135.3284912109375,398.256103515625,1574.71484375,839.932373046875,250.84950256347656,281.43798828125,2258.6357421875,552.9733276367188,782.02734375,4036.680908203125,1510.71044921875
1,7,Fmin7,F,12.0,80.19112396240234,27.450780868530273,79.25294494628906,344.5699462890625,121.8824691772461,301.90948486328125,62.65733337402344,80.38360595703125,32.261138916015625,38.11311340332031,23.399953842163086,24.035593032836914
2,9,Cmin7,C,16.0,253.93310546875,66.56544494628906,63.40353775024414,280.8224182128906,56.41339111328125,20.118310928344727,10.935235023498535,42.06626510620117,12.717793464660645,47.78776931762695,316.71942138671875,108.22393035888672
3,11,Abmin7,Ab,20.0,44.514522552490234,12.423606872558594,68.17205810546875,305.0923156738281,44.26741409301758,33.56167221069336,184.98548889160156,74.84304809570312,61.80967330932617,17.789953231811523,66.78392791748047,185.9186248779297
4,13,Cmin7,C,24.0,74.93018341064453,18.77500343322754,74.6044692993164,306.1521911621094,57.27415466308594,17.666156768798828,49.952392578125,115.9952163696289,28.101211547851562,77.61393737792969,495.8392639160156,121.44457244873047
5,15,Cmin7,C,28.0,71.46697235107422,18.50714111328125,72.71797943115234,309.7314453125,56.02437973022461,11.047837257385254,14.276078224182129,55.04304885864258,17.12886619567871,75.21269226074219,490.3503112792969,100.47378540039062
6,17,Ebmaj7,Eb,32.0,479.7180480957031,1946.2108154296875,1300.4344482421875,1609.9189453125,924.7699584960938,3239.923583984375,898.7284545898438,1724.11865234375,539.7023315429688,630.3464965820312,2023.0784912109375,415.3789978027344
7,18,Eb9,Eb,34.0,1780.0443115234375,541.3359375,789.5213012695312,2775.224609375,933.7527465820312,507.324462890625,601.5582275390625,3578.6923828125,2062.137451171875,401.2572937011719,181.0950927734375,506.2257385253906
8,19,Abmaj7,Ab,36.0,683.68603515625,768.0142211914062,918.924560546875,3108.737060546875,1144.0491943359375,2329.085693359375,4150.67236328125,1288.2010498046875,2031.0489501953125,846.7243041992188,2405.130615234375,2348.264404296875
9,20,Db13,Db,38.0,340.42523193359375,573.9483642578125,2935.544921875,3677.233642578125,725.0722045898438,266.1263427734375,404.2092590332031,1646.2685546875,594.4506225585938,1564.2060546875,4438.5478515625,833.93701171875
10,21,Ebmaj7,Eb,40.0,479.5567626953125,1913.8365478515625,1324.8587646484375,1701.2978515625,989.953857421875,3640.482666015625,1029.487548828125,1964.8746337890625,602.5087890625,678.8789672851562,2053.49951171875,436.3387451171875
11,22,Eb9,Eb,42.0,1738.2066650390625,526.2826538085938,716.2782592773438,2746.2958984375,901.4428100585938,297.7445373535156,350.0318908691406,1868.1021728515625,1761.3843994140625,345.9928894042969,205.6885986328125,509.7841491699219
12,23,Abmaj7,Ab,44.0,725.0971069335938,658.6138305664062,749.7637329101562,2945.022705078125,1012.0339965820312,2029.3167724609375,761.2216796875,690.8670043945312,1861.4940185546875,526.7045288085938,562.1805419921875,2020.6328125
13,24,Db9,Db,46.0,482.9086608886719,295.25738525390625,832.7227172851562,3759.685302734375,771.338134765625,685.3795776367188,405.2623291015625,1638.7889404296875,334.3377990722656,487.2113037109375,2001.3265380859375,666.5455932617188
14,25,Eb/Bb,Eb,48.0,1176.2308349609375,408.0521545410156,779.0529174804688,3771.658935546875,1510.2257080078125,909.87353515625,3686.994384765625,955.694580078125,474.8356018066406,1798.1517333984375,1342.4940185546875,475.4854736328125
15,26,Cdim7/Bb,C,50.0,1256.6195068359375,477.1771240234375,903.38525390625,3376.063232421875,1130.95703125,706.124755859375,531.3927612304688,2037.4473876953125,1912.1729736328125,606.3858032226562,1434.04345703125,602.7021484375
16,27,Abmaj7/Bb,Ab,52.0,468.1011047363281,353.0648193359375,1208.341796875,709.2975463867188,787.6234741210938,3773.003173828125,1609.71533203125,3412.984130859375,597.5099487304688,299.51873779296875,485.7205505371094,1925.4942626953125
17,28,G7,G,54.0,1718.7066650390625,636.8114013671875,2027.2421875,1158.5001220703125,488.0584716796875,1987.1455078125,4247.4638671875,23356.341796875,3733.593505859375,2050.7548828125,12681.5908203125,2770.8154296875
18,32,Cmin7,C,62.0,3150.798828125,577.6033935546875,432.6351623535156,1104.3526611328125,516.3403930664062,672.9981689453125,516.4089965820312,2663.591796875,578.5521850585938,2219.364990234375,14829.5546875,2637.69873046875
19,36,Fmin7,F,70.0,80.26407623291016,27.490041732788086,79.22169494628906,344.6691589355469,122.14474487304688,302.33697509765625,62.291866302490234,76.79039001464844,31.684059143066406,38.17273712158203,24.330217361450195,24.22355842590332
20,38,Cmin7,C,74.0,253.94915771484375,66.59425354003906,63.40678024291992,280.8042297363281,56.441898345947266,20.155427932739258,10.926318168640137,42.05313491821289,12.715293884277344,47.7624626159668,316.5283508300781,108.27853393554688
21,40,Abmin7,Ab,78.0,44.51322555541992,12.425697326660156,68.17189025878906,305.0892333984375,44.26908874511719,33.56521987915039,184.9779815673828,74.83536529541016,61.80906677246094,17.78907585144043,66.78120422363281,185.916015625
22,42,Cmin7,C,82.0,74.73097229003906,18.341588973999023,71.18071746826172,304.9345703125,57.031497955322266,16.941631317138672,41.54267501831055,61.1434440612793,18.608402252197266,76.98982238769531,493.6945495605469,120.48255157470703
23,44,Cmin7,C,86.0,9.098858572542667e-05,0.00010544655378907919,8.577836706535891e-05,8.8054446678143e-05,9.158359171124175e-05,9.42315673455596e-05,9.699875226942822e-05,9.77238523773849e-05,9.62698832154274e-05,9.608312393538654e-05,9.508620132692158e-05,9.104984201258048e-05
