,Measure,Soulville,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Bb,Bb,0.0,83427.2109375,347418.6875,223818.0625,119086.6875,140442.515625,688793.25,124055.1875,70586.53125,153624.109375,146922.921875,572098.375,97734.9375
1,34,Bbmin7,Bb,66.0,575.111572265625,1796.2547607421875,517.826904296875,287.7921447753906,734.306396484375,3245.095703125,616.205078125,290.2941589355469,1288.1893310546875,1024.050048828125,4148.84228515625,685.649169921875
2,35,Ebmin7,Eb,68.0,356.3897399902344,2104.489501953125,960.417724609375,3047.8388671875,551.4251708984375,790.3698120117188,3562.279052734375,630.1796875,152.74375915527344,330.8438720703125,1937.7001953125,325.2744140625
3,36,Bbmin7,Bb,70.0,483.5141906738281,1606.9422607421875,352.8772277832031,280.3165588378906,697.226806640625,3227.169921875,642.2669067382812,254.3661651611328,1325.6607666015625,688.6974487304688,1870.107421875,373.4091796875
4,37,Bb7,Bb,72.0,234.992919921875,447.2294006347656,2003.1885986328125,518.0075073242188,616.63623046875,2922.174072265625,776.5281372070312,279.1951599121094,1386.8475341796875,885.9171752929688,1937.0770263671875,350.2447509765625
5,38,Ebmin7,Eb,74.0,357.304443359375,2122.73291015625,976.15625,3044.200927734375,552.7454223632812,787.0733032226562,3525.3603515625,624.6937255859375,151.24769592285156,336.4065856933594,1948.2208251953125,326.8295593261719
6,39,Ebmin7,Eb,76.0,321.2247314453125,1867.6856689453125,925.4585571289062,2978.9462890625,537.8043823242188,742.015380859375,3594.376220703125,647.8251342773438,144.23670959472656,333.7637939453125,1944.638671875,323.07257080078125
7,40,Bbmin7,Bb,78.0,478.427001953125,1593.8997802734375,354.8490295410156,279.3887634277344,687.358154296875,3182.0341796875,639.1732177734375,255.5786590576172,1331.4722900390625,688.077392578125,1870.86865234375,373.0592346191406
8,41,Bbmin9,Bb,80.0,2329.29541015625,1979.0191650390625,425.8127746582031,304.1231384277344,687.5719604492188,3133.4140625,634.083740234375,318.77899169921875,1356.7733154296875,690.0707397460938,1957.5606689453125,630.6747436523438
9,42,Cmin7,C,82.0,1594.7835693359375,454.5630798339844,821.3256225585938,3167.304443359375,940.8233032226562,279.4859313964844,290.12567138671875,1477.5428466796875,311.641845703125,361.3585510253906,1940.19287109375,705.2018432617188
10,43,F7,F,84.0,2073.96337890625,481.7604675292969,661.6864624023438,3243.693603515625,1599.7666015625,1301.0606689453125,288.74951171875,387.4947509765625,518.2531127929688,1669.1558837890625,410.1211853027344,460.4990539550781
11,44,Bbmin7,Bb,86.0,180.98667907714844,509.7469787597656,123.1537094116211,91.9735107421875,230.9142608642578,958.6614379882812,187.74755859375,92.28214263916016,450.4548034667969,246.09022521972656,574.3580932617188,143.2144012451172
12,44,Gmin7,G,87.0,27.50606346130371,73.93800354003906,16.075672149658203,23.844545364379883,38.19160842895508,203.484375,31.94144630432129,4.312402725219727,20.61939811706543,9.820399284362793,13.895369529724121,4.514604091644287
13,45,Cmin7,C,88.0,542.13671875,207.10301208496094,379.9334716796875,980.2319946289062,378.9558410644531,488.9550476074219,204.05992126464844,585.871337890625,125.96493530273438,178.358154296875,706.1618041992188,262.1609802246094
14,45,F7,F,89.0,582.7814331054688,156.1942901611328,296.4001159667969,1111.4775390625,563.8522338867188,466.180419921875,130.60704040527344,165.24131774902344,201.6927032470703,534.6067504882812,187.53057861328125,157.79237365722656
15,46,Bb,Bb,90.0,30655.279296875,57253.640625,64189.57421875,52986.515625,33875.56640625,132464.015625,27383.884765625,14223.97265625,29388.474609375,45895.578125,207418.9375,37130.0546875
16,59,Bbmin6,Bb,116.0,1826.2861328125,7102.458984375,1796.4619140625,789.9530639648438,3015.1708984375,13591.8671875,2775.423828125,6122.66162109375,2252.40625,3252.7236328125,15438.0732421875,2701.64990234375
