,Measure,Horace,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Dmin7,D,0.0,62.0965690612793,62.61458206176758,97.4976577758789,87.59454345703125,87.63883209228516,289.1144104003906,420.5220642089844,1350.5361328125,1062.3792724609375,517.8999633789062,115.3749008178711,34.322776794433594
1,2,Dmin7,D,2.0,705.4923706054688,240.104736328125,758.3937377929688,142.81605529785156,271.9967956542969,1515.599609375,305.17901611328125,366.2494812011719,159.50477600097656,486.43701171875,76.86660766601562,137.6399688720703
2,3,Dmin7,D,4.0,995.9902954101562,369.8927307128906,929.207275390625,242.06581115722656,332.53765869140625,1914.75830078125,729.8369140625,1411.4376220703125,1178.1234130859375,1111.678955078125,200.2197265625,188.0482940673828
3,4,G9,G,6.0,705.5839233398438,240.03619384765625,759.1659545898438,142.28224182128906,269.568115234375,1502.5770263671875,304.0314636230469,366.3141174316406,159.91749572753906,490.8304748535156,77.77584075927734,137.8802947998047
4,5,G9,G,8.0,322.2414855957031,207.4395751953125,529.9099731445312,270.5054626464844,344.1376647949219,1933.4730224609375,977.7041625976562,1956.5584716796875,1249.5509033203125,1110.3125,360.2443542480469,836.619384765625
5,6,Dmin7,D,10.0,677.2415161132812,191.6483154296875,419.5324401855469,141.5513153076172,276.6263122558594,1512.0343017578125,419.5621643066406,773.180419921875,223.1829071044922,500.8025817871094,193.2976837158203,683.335693359375
6,7,Dmin7,D,12.0,2788.643310546875,1059.7911376953125,3024.428466796875,963.4248657226562,1211.0733642578125,6094.32373046875,2299.7060546875,6349.79296875,6744.20068359375,5880.701171875,932.7269897460938,629.0967407226562
7,9,G9,G,16.0,116.70950317382812,115.004638671875,431.5704345703125,152.08193969726562,167.07479858398438,704.5271606445312,239.7337646484375,305.28741455078125,106.83414459228516,239.77162170410156,120.47613525390625,380.0962829589844
8,9,F9,F,17.0,546.0396118164062,150.25196838378906,158.4500274658203,586.5477905273438,339.0163269042969,346.8213195800781,154.96102905273438,422.9861145019531,302.61480712890625,1453.04345703125,255.7469024658203,186.62852478027344
9,10,Emin7,E,18.0,159.2207489013672,113.54544067382812,662.552734375,339.6786804199219,608.7014770507812,184.5911865234375,206.2635955810547,1146.7747802734375,245.14625549316406,49.20359802246094,78.32101440429688,415.4936218261719
10,10,Dmin7,D,19.0,550.457763671875,166.89720153808594,414.0115661621094,163.2820281982422,288.0558166503906,769.40673828125,269.8497619628906,800.4137573242188,155.2326202392578,162.2488555908203,43.6742057800293,124.10138702392578
