,Measure,Dumaine St,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Ebmin,Eb,0.0,2073.6669921875,6603.58935546875,12273.8486328125,63757.203125,11071.3759765625,11931.04296875,55436.859375,14721.6806640625,26870.9140625,11280.90234375,45445.75390625,7088.63232421875
1,9,Ebmin,Eb,16.0,28.114225387573242,62.043792724609375,231.94288635253906,872.2703247070312,159.8269500732422,221.4003143310547,1015.0178833007812,207.75636291503906,39.671897888183594,98.82682037353516,550.6325073242188,87.3880386352539
2,9,Ab,Ab,17.0,2.3055899143218994,4.256206035614014,29.85740089416504,190.6964874267578,30.363622665405273,18.172365188598633,113.51235961914062,17.76030158996582,1.2792460918426514,4.3438401222229,29.648948669433594,4.8827080726623535
3,10,Gb,Gb,18.0,246.63185119628906,555.1138305664062,173.90460205078125,364.4322204589844,151.00100708007812,264.7124938964844,1071.5709228515625,256.564453125,197.01812744140625,118.6402587890625,528.9895629882812,121.7776107788086
4,10,E,E,19.0,28.20807647705078,36.107547760009766,23.383056640625,85.73851776123047,27.4683895111084,21.41054344177246,119.3569564819336,51.649658203125,262.59991455078125,73.12212371826172,40.14942169189453,11.745616912841797
5,11,Ebmin,Eb,20.0,57.61420822143555,63.46054458618164,229.64659118652344,933.5940551757812,568.1259155273438,284.58270263671875,1077.5120849609375,236.97120666503906,123.57711029052734,109.99246215820312,577.5193481445312,264.04302978515625
6,11,Ab,Ab,21.0,4.247054576873779,5.29235315322876,31.01189422607422,201.64207458496094,92.89672088623047,27.329885482788086,116.25350952148438,19.434810638427734,10.050410270690918,5.860016345977783,30.285329818725586,12.389189720153809
7,12,Gb,Gb,22.0,245.48008728027344,554.5512084960938,174.47955322265625,369.187255859375,179.2225799560547,269.9765930175781,1071.7427978515625,256.7869873046875,198.1883087158203,119.60968780517578,532.5252075195312,122.76846313476562
8,12,E,E,23.0,28.428430557250977,36.16289138793945,23.582929611206055,86.63436889648438,34.61612319946289,22.39735221862793,119.58155059814453,51.992523193359375,264.67022705078125,73.4288558959961,40.55765914916992,12.47379207611084
9,13,Ebmin,Eb,24.0,57.67312240600586,63.416778564453125,229.4722137451172,933.3974609375,565.8609619140625,284.41925048828125,1077.3953857421875,236.9198455810547,123.62337493896484,110.0155029296875,577.5790405273438,264.65948486328125
10,13,Ab,Ab,25.0,4.246365070343018,5.291713237762451,31.00763511657715,201.6245880126953,92.90734100341797,27.327499389648438,116.25159454345703,19.43560028076172,10.055362701416016,5.860777378082275,30.284250259399414,12.384857177734375
11,14,Gb,Gb,26.0,245.48118591308594,554.5525512695312,174.48036193847656,369.1944580078125,179.234375,269.98590087890625,1071.7506103515625,256.7943420410156,198.19366455078125,119.61414337158203,532.5380249023438,122.77155303955078
12,14,E,E,27.0,28.428232192993164,36.16329574584961,23.5826358795166,86.6349105834961,34.61577606201172,22.397119522094727,119.58150482177734,51.99282455444336,264.6690979003906,73.42818450927734,40.557254791259766,12.473603248596191
13,15,Ebmin,Eb,28.0,57.67213821411133,63.417484283447266,229.46876525878906,933.390380859375,565.8475952148438,284.4226379394531,1077.40576171875,236.921142578125,123.62036895751953,110.01602172851562,577.5770263671875,264.66845703125
14,15,Ab,Ab,29.0,4.246094703674316,5.291574001312256,31.00819969177246,201.62689208984375,92.90762329101562,27.32744789123535,116.2511978149414,19.4355411529541,10.055241584777832,5.8607401847839355,30.28352165222168,12.384925842285156
15,16,Gb,Gb,30.0,245.5564727783203,554.7138671875,174.4788055419922,369.0505065917969,178.9573516845703,269.6597595214844,1071.786376953125,256.8692932128906,198.21372985839844,119.6355972290039,532.6692504882812,122.7219467163086
16,16,E,E,31.0,28.42711639404297,36.16134262084961,23.582368850708008,86.634765625,34.615909576416016,22.397064208984375,119.58094024658203,51.99172592163086,264.6730651855469,73.43087005615234,40.55754470825195,12.473499298095703
17,17,Ebmin7,Eb,32.0,409.7357482910156,1888.6788330078125,937.4833984375,3266.049072265625,1872.962890625,882.6246948242188,3643.3515625,719.6358032226562,469.3069152832031,383.1338195800781,2025.8636474609375,849.96484375
18,18,Ab7,Ab,34.0,1728.4129638671875,474.6878967285156,595.9309692382812,2511.001953125,860.4183959960938,738.5215454101562,3722.869873046875,1183.8480224609375,1596.2950439453125,316.5516662597656,188.6491241455078,394.6103515625
