,Measure,Spontaneous Combustion,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,2,Bb7,Bb,2.0,331.0848388671875,901.420654296875,3216.1904296875,662.5287475585938,469.1525573730469,1854.6749267578125,528.6817016601562,201.8148193359375,642.26220703125,723.008544921875,1782.271484375,423.45263671875
1,3,Bb7,Bb,4.0,155.47630310058594,246.8499755859375,1132.0289306640625,295.8599853515625,433.6672058105469,2083.44287109375,467.6507568359375,152.46495056152344,838.6327514648438,1057.3424072265625,5350.345703125,880.3931274414062
2,4,Bb7,Bb,6.0,331.1416320800781,902.8385620117188,3225.935302734375,661.4210205078125,462.9070129394531,1832.1280517578125,529.2711791992188,202.8408203125,645.9171752929688,727.9581909179688,1784.0206298828125,423.1939392089844
3,5,Bb7,Bb,8.0,155.48023986816406,246.87367248535156,1132.1558837890625,295.8768005371094,433.705322265625,2083.596923828125,467.6778259277344,152.46591186523438,838.63037109375,1057.3292236328125,5350.359375,880.40283203125
4,6,Eb7,Eb,10.0,496.985595703125,2351.400634765625,3052.708984375,2232.968994140625,484.2703552246094,534.3589477539062,254.82421875,932.699951171875,360.2693786621094,470.9642028808594,1402.84912109375,330.53973388671875
5,7,Eb7,Eb,12.0,209.0173797607422,1100.7252197265625,570.1948852539062,1902.3380126953125,326.1130676269531,258.0163269042969,186.5474853515625,918.3245239257812,524.1871948242188,1104.7335205078125,7064.85791015625,1093.83447265625
6,8,Eb7,Eb,14.0,500.1430358886719,2384.301025390625,3277.003662109375,2271.593017578125,475.5381774902344,505.2213439941406,253.62408447265625,929.2608032226562,355.2484130859375,474.8577880859375,1431.205078125,332.9601135253906
7,9,Eb7,Eb,16.0,207.12306213378906,1107.1300048828125,564.8084716796875,1887.8099365234375,320.0575256347656,229.795166015625,183.89215087890625,920.9232788085938,519.3171997070312,1112.1312255859375,7157.416015625,1108.25
8,10,Cmin7,C,18.0,1483.8135986328125,1769.6566162109375,2830.0986328125,2243.968505859375,649.7871704101562,497.2794494628906,261.71435546875,980.6893920898438,340.6960144042969,449.5099182128906,1444.8140869140625,555.3866577148438
9,11,F7,F,20.0,245.1774444580078,101.79137420654297,106.97330474853516,379.843994140625,197.70521545410156,252.9340362548828,82.13123321533203,98.92096710205078,412.1949768066406,780.534423828125,4018.6708984375,633.6195678710938
10,12,F7,F,22.0,1769.3994140625,1838.7591552734375,2733.293212890625,2413.368896484375,1111.8765869140625,1044.2774658203125,288.8282775878906,341.9514465332031,389.7766418457031,976.7318725585938,1341.6014404296875,486.7373962402344
11,13,F7,F,24.0,5561.68212890625,1534.1590576171875,1550.6036376953125,8388.94921875,3341.4189453125,3717.5654296875,845.0455932617188,1778.646484375,7806.12841796875,5386.03271484375,16557.447265625,3353.9228515625
