,Measure,Blues For Junior,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,2,G7,G,2.0,773.565185546875,224.95567321777344,370.3916320800781,507.1109313964844,2138.912841796875,697.76416015625,497.5834655761719,2537.968017578125,601.610595703125,296.6396789550781,1481.8409423828125,611.9887084960938
1,3,C7,C,4.0,289.12841796875,274.566162109375,1090.8851318359375,478.1954040527344,719.0414428710938,1748.1954345703125,996.568359375,2534.787841796875,525.1902465820312,299.23150634765625,279.3725891113281,977.5947875976562
2,4,G7,G,6.0,290.45556640625,209.44664001464844,570.7359619140625,348.4245910644531,537.538330078125,2691.766845703125,849.2814331054688,796.2277221679688,202.65582275390625,221.76397705078125,248.29225158691406,898.4755859375
3,5,G7,G,8.0,785.4169311523438,227.10389709472656,354.7528076171875,499.1463317871094,2124.197021484375,589.3080444335938,475.0601806640625,2457.05322265625,589.7002563476562,300.4060363769531,1491.78271484375,645.0299072265625
4,6,C7,C,10.0,780.969970703125,198.8910369873047,194.18524169921875,384.4615783691406,1821.5504150390625,375.9991455078125,150.76255798339844,683.5839233398438,190.1349639892578,178.052978515625,787.060302734375,374.655029296875
5,7,C7,C,12.0,305.6859436035156,498.2530212402344,2662.601318359375,647.8274536132812,525.5403442382812,1677.8287353515625,667.7083740234375,793.572998046875,205.21107482910156,195.0589599609375,234.35569763183594,863.701171875
6,8,G7,G,14.0,247.95359802246094,201.62742614746094,604.816162109375,334.0763244628906,398.7451171875,1717.4674072265625,670.7947387695312,738.6259155273438,163.85174560546875,144.71434020996094,231.06651306152344,891.6705932617188
7,9,G7,G,16.0,850.7450561523438,241.1241912841797,220.561767578125,422.1846923828125,1442.64990234375,432.541748046875,442.4012451171875,827.1206665039062,377.8000793457031,852.6921997070312,276.90283203125,701.9111938476562
8,10,Amin7,A,18.0,1112.491455078125,559.7285766601562,1762.283203125,432.8455810546875,322.73223876953125,474.5504150390625,2022.89306640625,1575.78955078125,369.4277648925781,627.7571411132812,219.0784454345703,515.7481079101562
9,11,D7,D,20.0,283.6110534667969,356.0727844238281,1061.6566162109375,764.5884399414062,869.545166015625,1819.5355224609375,1080.590576171875,891.40087890625,279.4756774902344,325.0289611816406,318.2446594238281,917.6160278320312
10,12,G7,G,22.0,253.35321044921875,215.53416442871094,745.5859985351562,384.1038818359375,394.8229064941406,1755.5390625,1096.4013671875,3635.244384765625,608.9173583984375,167.9403839111328,227.59228515625,911.761962890625
11,13,G7,G,24.0,266.84814453125,217.727783203125,756.4104614257812,438.2735900878906,630.8947143554688,1769.3201904296875,1075.0855712890625,3361.423095703125,671.0628662109375,177.875732421875,234.52845764160156,954.7953491210938
12,14,G7,G,26.0,16.57086181640625,18.37520408630371,71.0277328491211,26.619361877441406,34.64303207397461,134.45643615722656,29.642305374145508,9.599539756774902,2.7468507289886475,4.006809711456299,12.605372428894043,69.52625274658203
