,Measure,HideNSeek,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,B7(#9),B,0.0,5685.107421875,7312.15673828125,35691.08203125,60453.70703125,9280.2275390625,10776.783203125,60285.125,10507.892578125,3592.853759765625,17942.59375,9855.4638671875,29877.037109375
1,9,E7(#9),E,16.0,3387.999267578125,3528.877685546875,17223.083984375,10549.921875,13914.15625,5058.03466796875,5019.53857421875,13043.6328125,11409.9921875,4238.4111328125,3890.73828125,16989.095703125
2,13,B7(#9),B,24.0,2941.3857421875,5830.990234375,23462.0234375,28217.78125,4365.1875,4962.94140625,26938.380859375,4702.92578125,2447.801513671875,10029.9951171875,4791.51904296875,13742.265625
3,17,F#7(#9),F#,32.0,3317.926513671875,15590.86328125,3321.782958984375,5238.74755859375,27474.310546875,10988.3994140625,11647.2666015625,2324.138916015625,3417.566650390625,12944.5302734375,16718.986328125,3514.694091796875
4,21,E7(#9),E,40.0,3341.3046875,3364.862548828125,15547.2431640625,11540.5283203125,13443.0390625,4866.755859375,4938.17431640625,13233.4052734375,11344.2119140625,3503.275634765625,3799.416259765625,16983.279296875
5,25,B7(#9),B,48.0,7534.119140625,9309.3466796875,45222.28515625,78000.84375,12598.44921875,11814.1259765625,66630.3359375,13169.6806640625,5546.83935546875,23824.451171875,12102.9306640625,35079.7890625
