,Measure,PCH,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Cmin9,C,0.0,25066.734375,6460.56689453125,17119.345703125,23395.744140625,6511.01123046875,2965.7353515625,5611.525390625,26086.5390625,5015.6923828125,4396.9306640625,23429.7421875,9772.5908203125
1,5,Cmin7,C,8.0,24363.5859375,6770.369140625,17275.884765625,45410.921875,12854.0068359375,9415.740234375,7263.08203125,33264.69140625,6783.552734375,6904.76318359375,27820.716796875,10209.7548828125
2,12,Fmin7,F,22.0,272.0938415527344,82.32250213623047,107.48383331298828,354.3793640136719,207.17823791503906,172.15118408203125,52.56430435180664,122.91036987304688,303.964599609375,77.2446060180664,30.04640007019043,81.6664047241211
3,12,G7,G,22.66666666666667,85.67264556884766,26.1787052154541,38.822452545166016,128.6914520263672,58.93717956542969,51.55632400512695,11.10931396484375,31.111249923706055,78.75768280029297,37.30913543701172,65.24931335449219,27.448633193969727
4,12,Cmin7,C,23.33333333333333,130.78152465820312,72.33939361572266,177.81353759765625,169.60072326660156,123.37142944335938,366.1589660644531,173.5747528076172,173.71978759765625,48.445068359375,41.60878372192383,55.96674728393555,179.23558044433594
5,13,Cmin11,C,24.0,2277.3486328125,836.988037109375,1996.8463134765625,3834.33203125,1776.37548828125,4233.15966796875,1913.255859375,4744.58935546875,967.1710815429688,956.654052734375,2326.33642578125,1381.78369140625
6,14,G7,G,26.0,28.22370719909668,15.36742115020752,47.215694427490234,46.001285552978516,41.64825439453125,189.55157470703125,63.49967956542969,201.16127014160156,45.53934860229492,46.52964401245117,100.17346954345703,30.385757446289062
7,14,C13,C,27.0,27.3593807220459,20.033872604370117,48.6486701965332,44.67033767700195,45.88212966918945,132.92977905273438,65.01543426513672,161.7871856689453,41.50156784057617,24.19920539855957,22.988801956176758,47.10044479370117
8,15,Cmin7,C,28.0,1757.4632568359375,609.4146728515625,1215.7198486328125,3521.438232421875,2026.3348388671875,2005.9615478515625,1000.9874877929688,2642.105224609375,740.9907836914062,1177.1607666015625,2739.281494140625,1385.5364990234375
9,16,Gb13,Gb,30.0,17.920087814331055,9.01294231414795,23.519577026367188,30.98830223083496,26.976343154907227,51.54899978637695,14.17586612701416,12.459972381591797,10.85631275177002,173.62290954589844,1122.474853515625,198.97320556640625
10,16,Fmin9,F,31.0,3098.579833984375,4394.18310546875,2009.7071533203125,3842.098876953125,7644.833984375,4240.99560546875,3881.5185546875,2270.9365234375,3503.483154296875,2099.100341796875,6276.7265625,4566.37841796875
11,18,Fmin7,F,34.0,274.0311584472656,89.43515014648438,102.75518798828125,347.84326171875,216.6184539794922,174.63731384277344,57.726619720458984,113.943115234375,194.08917236328125,60.12272644042969,31.52904510498047,85.4374008178711
12,18,G7,G,34.666666666666664,200.5002899169922,152.60696411132812,56.1611442565918,123.5074462890625,65.1603012084961,55.12828063964844,9.989119529724121,17.41106605529785,22.00270652770996,21.851364135742188,69.47150421142578,47.212646484375
13,18,Cmin11,C,35.333333333333336,1179.6016845703125,773.9304809570312,2171.2236328125,2273.21435546875,1722.4815673828125,6988.35205078125,2401.876953125,3057.690673828125,685.26171875,826.2239379882812,1333.0029296875,3174.203125
14,20,Cmin7,C,38.0,1617.1640625,414.7748107910156,869.6669921875,3189.491455078125,1042.2144775390625,327.7359313964844,312.34002685546875,1498.2239990234375,310.8996887207031,367.9620666503906,1916.8519287109375,722.14453125
15,21,Ab,Ab,40.0,232.8213348388672,73.82746124267578,104.4998550415039,324.9241027832031,107.0740737915039,21.0839900970459,31.029760360717773,119.34170532226562,196.28269958496094,50.179752349853516,21.309484481811523,61.75077819824219
16,21,Bb,Bb,40.66666666666666,115.99002075195312,60.08383560180664,148.05555725097656,240.2930908203125,93.05279541015625,142.4423370361328,49.03155517578125,34.91006851196289,29.090890884399414,50.38895797729492,83.47862243652344,34.72726058959961
17,21,F,F,41.333333333333336,26.091171264648438,20.675033569335938,98.3758544921875,64.76726531982422,55.65816116333008,171.2299041748047,42.17209243774414,48.7841796875,25.784391403198242,65.13514709472656,248.1861114501953,46.81327438354492
18,22,F,F,42.0,2531.10546875,545.8240356445312,324.3418884277344,542.6797485351562,901.274169921875,3959.1787109375,891.907958984375,1620.7052001953125,766.9334106445312,1475.904296875,324.96588134765625,423.2848815917969
19,23,Ab,Ab,44.0,206.8984375,65.1781005859375,92.44579315185547,338.11553955078125,120.3251724243164,27.739023208618164,31.00264549255371,116.8853530883789,189.27044677734375,51.59214782714844,21.111618041992188,54.97110366821289
20,23,Bb,Bb,44.66666666666666,61.82968521118164,23.269508361816406,41.39582824707031,114.80713653564453,34.2825927734375,16.3347225189209,7.687203884124756,32.291316986083984,77.23332977294922,19.196535110473633,6.9876885414123535,10.53560733795166
21,23,Fmin7,F,45.33333333333334,43.0308952331543,45.631221771240234,121.92630767822266,161.8617401123047,74.69385528564453,218.9469451904297,58.9315299987793,34.71662521362305,22.518041610717773,45.00838088989258,101.85405731201172,28.273725509643555
22,24,Gmin7,G,46.0,1035.05322265625,225.84033203125,438.1119689941406,1300.171142578125,529.937255859375,1007.77587890625,234.5611114501953,567.1504516601562,332.1748046875,538.7815551757812,2949.4052734375,654.6434326171875
23,25,Bb/Ab,Bb,48.0,1313.02001953125,255.09715270996094,311.5810852050781,486.0579833984375,184.00439453125,510.2413330078125,139.0579071044922,160.72122192382812,88.26555633544922,322.2742919921875,1630.79443359375,452.5780334472656
24,26,Eb,Eb,50.0,48.569705963134766,58.1475715637207,344.3219909667969,1024.6109619140625,246.1352081298828,324.6151428222656,138.5483856201172,431.2137145996094,111.33709716796875,236.08917236328125,1434.1639404296875,261.9530029296875
25,26,Bb9,Bb,51.0,579.8440551757812,243.66265869140625,640.7254028320312,452.17724609375,274.6453552246094,887.7962036132812,286.7349853515625,234.79432678222656,466.8601379394531,454.4421691894531,1776.2537841796875,376.5872497558594
