,Measure,OneManSection,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Dmin7,D,0.0,1994.4052734375,759.1970825195312,1900.896484375,439.88330078125,881.653076171875,3627.215576171875,821.3284301757812,202.36981201171875,503.6296691894531,3033.048583984375,515.8512573242188,338.4175720214844
1,2,G7,G,2.0,500.5267333984375,358.3597106933594,1091.0037841796875,617.004638671875,749.4920043945312,3748.664306640625,1437.0513916015625,2168.581298828125,485.5229187011719,328.25909423828125,434.0747375488281,1927.0714111328125
2,3,Dmin7,D,4.0,1993.8184814453125,752.7118530273438,1892.6473388671875,436.442138671875,809.4166870117188,3575.2607421875,835.2421264648438,191.62525939941406,582.3175659179688,3650.185791015625,578.2869262695312,390.4539794921875
3,4,Dmin7,D,6.0,2307.070068359375,802.713623046875,1891.4775390625,430.3273620605469,777.3037719726562,3560.4208984375,831.52001953125,204.58143615722656,244.9871063232422,1234.8828125,241.806640625,382.8633117675781
4,5,Gmin7,G,8.0,232.78965759277344,323.5874938964844,1055.6934814453125,319.7351379394531,629.956787109375,2977.215576171875,1183.8643798828125,1674.36279296875,400.541259765625,732.2459106445312,1978.4407958984375,641.9439086914062
5,6,Gmin7,G,10.0,195.08824157714844,327.21343994140625,1054.9805908203125,310.1399230957031,649.6001586914062,3058.9423828125,1092.0947265625,1994.8629150390625,904.6099243164062,897.984619140625,1953.5594482421875,375.1778869628906
6,7,Dmin7,D,12.0,1995.7850341796875,749.052978515625,1884.5653076171875,433.4539794921875,842.89013671875,3777.1904296875,856.7568969726562,190.781982421875,579.3158569335938,3634.315673828125,570.4434204101562,339.8084411621094
7,8,Dmin7,D,14.0,2299.515869140625,805.07470703125,1892.4100341796875,426.9014892578125,773.7745971679688,3525.1650390625,824.9400024414062,204.10081481933594,245.91026306152344,1238.9866943359375,241.0121612548828,374.4683837890625
8,9,Emin7,E,16.0,124.12238311767578,140.61798095703125,737.8847045898438,332.0411071777344,1007.083251953125,232.89154052734375,113.6488265991211,442.5340576171875,110.26728057861328,86.20214080810547,107.44924926757812,561.5548706054688
9,9,A7,A,17.0,11.42368221282959,10.197630882263184,64.1628189086914,52.86152267456055,168.2970428466797,47.6815185546875,37.30900573730469,238.4547119140625,62.692657470703125,15.721795082092285,10.478896141052246,46.34146499633789
10,10,Fmin7,F,18.0,658.3861083984375,347.3387145996094,215.50457763671875,815.05517578125,707.8378295898438,444.4422912597656,132.35386657714844,381.3594665527344,533.3023681640625,205.11419677734375,72.33602905273438,159.66793823242188
11,10,Bb9,Bb,19.0,761.8386840820312,334.9445495605469,699.6752319335938,464.5397033691406,348.3101501464844,1069.8995361328125,291.3304748535156,140.79884338378906,475.0984191894531,311.322265625,588.5283813476562,230.1624298095703
12,11,Ebmin,Eb,20.0,70.56441497802734,62.58759689331055,299.6988830566406,957.8757934570312,226.1278533935547,487.583740234375,1074.94775390625,197.40045166015625,54.41044998168945,112.84651947021484,577.6843872070312,93.87712860107422
13,11,Ab7,Ab,21.0,479.5119323730469,166.4729766845703,245.13865661621094,908.6754760742188,275.6958923339844,268.3705139160156,1204.939208984375,447.1339416503906,484.6024475097656,117.32559967041016,115.72473907470703,130.9525604248047
14,12,Emin7,E,22.0,203.270263671875,155.8870086669922,630.6384887695312,561.4320678710938,1052.0479736328125,249.7261962890625,253.6688690185547,496.7904052734375,122.55387115478516,65.61019134521484,108.221923828125,585.5646362304688
15,12,A7,A,23.0,47.89816665649414,81.38400268554688,226.7010955810547,120.84896087646484,230.6028594970703,90.12065887451172,53.224239349365234,91.7718505859375,51.59425354003906,113.7537841796875,37.41749954223633,59.023860931396484
16,13,Ebmin7,Eb,24.0,608.7955932617188,3479.330078125,1187.212890625,3297.105224609375,1460.4521484375,962.8524780273438,3501.706787109375,907.9646606445312,258.1446533203125,820.1199340820312,4828.43408203125,801.5068969726562
17,14,Gbmin7,Gb,26.0,207.19773864746094,925.2100219726562,201.8416290283203,233.088623046875,792.7123413085938,393.8385009765625,449.7537536621094,121.51296997070312,333.2905578613281,527.1049194335938,131.75259399414062,68.08467864990234
18,14,B7,B,27.0,148.0734100341797,216.50457763671875,225.86766052246094,1063.8809814453125,412.8030090332031,308.98577880859375,1218.27099609375,236.5236053466797,220.8997039794922,1272.2774658203125,390.1134033203125,547.7620239257812
19,15,D,D,28.0,136.41358947753906,574.4802856445312,2169.696044921875,1269.707275390625,423.4863586425781,760.7687377929688,4170.37158203125,718.7271118164062,226.8704376220703,1144.61669921875,289.6967468261719,320.4760437011719
20,16,Dmaj7,D,30.0,355.0784912109375,2396.601806640625,2350.948486328125,467.9822692871094,235.22410583496094,736.6575317382812,3770.906005859375,658.2275390625,283.1437683105469,1235.8167724609375,255.7341766357422,135.4905242919922
21,17,Dmin7,D,32.0,1993.44189453125,779.52197265625,1875.1768798828125,473.930908203125,893.4385375976562,3643.242431640625,897.3357543945312,214.8614501953125,505.9177551269531,3031.961669921875,517.6102905273438,344.2131652832031
22,18,G7,G,34.0,493.6029968261719,354.214599609375,1071.4273681640625,598.517822265625,788.8263549804688,3707.7978515625,1378.0584716796875,1754.01318359375,420.2306213378906,590.037353515625,505.3605651855469,1932.1734619140625
23,19,Dmin7,D,36.0,2003.791015625,757.2526245117188,1904.90625,447.7872619628906,820.2261352539062,3574.770751953125,843.8871459960938,193.8603973388672,581.3964233398438,3637.557373046875,575.7186889648438,390.99169921875
24,20,Ebmin7,Eb,38.0,416.7201232910156,1904.1839599609375,1000.61865234375,3105.181640625,561.6328125,811.6290893554688,3645.306884765625,651.3309936523438,164.07015991210938,517.2597045898438,2940.248291015625,903.931640625
25,21,Dmin7,D,40.0,2002.04052734375,761.104248046875,1947.7293701171875,514.9453735351562,876.6356811523438,3661.074951171875,862.3955078125,198.34434509277344,571.1652221679688,3587.434326171875,567.6412353515625,345.3521728515625
26,22,G7,G,42.0,490.7248840332031,344.9490661621094,1072.5333251953125,617.6082153320312,737.4266967773438,3667.9150390625,1387.7357177734375,1688.8123779296875,350.1167297363281,301.5898742675781,433.3517150878906,1913.9642333984375
27,23,Bbmaj7,Bb,44.0,172.5887908935547,507.1554260253906,1974.9112548828125,482.6440734863281,700.3021850585938,2879.446533203125,722.5216674804688,166.68626403808594,309.2950134277344,1710.4884033203125,2068.471435546875,402.7544860839844
28,24,Emin7,E,46.0,123.88831329345703,140.4577178955078,742.9021606445312,326.8976745605469,1002.8740844726562,231.4626007080078,114.733642578125,444.8199462890625,107.37641143798828,66.03728485107422,108.10350799560547,583.7660522460938
29,24,A7,A,47.0,157.00863647460938,550.9204711914062,175.866943359375,210.53932189941406,777.8690795898438,261.2255859375,132.6936798095703,596.5543212890625,322.3388671875,501.2744140625,123.11809539794922,129.79379272460938
30,25,Dmin7,D,48.0,2050.285400390625,984.8267211914062,1873.9202880859375,467.0130310058594,1362.2132568359375,3738.356689453125,825.263671875,302.91351318359375,308.7596130371094,1531.4552001953125,340.9519958496094,428.09521484375
31,26,B13,B,50.0,735.677978515625,2222.6953125,1173.9967041015625,2834.651123046875,3416.453369140625,1904.2574462890625,1856.7242431640625,734.4598999023438,1841.2138671875,1983.9288330078125,651.83349609375,729.83154296875
32,27,Bb7,Bb,52.0,234.28021240234375,450.4390869140625,2021.5596923828125,634.0241088867188,804.2271118164062,3051.388427734375,839.6863403320312,299.697998046875,1417.56591796875,960.8060913085938,1924.9024658203125,349.1673583984375
