,Measure,Spiral,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Emaj7/F#,E,0.0,538.9797973632812,200.35076904296875,242.93199157714844,1312.3056640625,3476.9091796875,1000.2670288085938,1687.1392822265625,1119.4913330078125,1567.8724365234375,320.8240051269531,463.9996337890625,2318.247802734375
1,2,Dmaj7/E,D,2.0,365.2013244628906,2340.234130859375,3817.804443359375,1304.3189697265625,1625.4732666015625,1000.3591918945312,3724.427734375,691.4691772460938,390.0738830566406,1532.2164306640625,404.4237976074219,191.90684509277344
2,3,Dbmaj7/Eb,Db,4.0,667.1915893554688,608.0304565429688,306.9697570800781,428.792236328125,312.4866638183594,1158.640625,252.72186279296875,135.81565856933594,543.8107299804688,147.03976440429688,77.1894302368164,114.37776947021484
3,3,Ebmaj7/F,Eb,5.0,565.337890625,1462.0716552734375,6461.5234375,8729.9384765625,2534.5908203125,4159.3037109375,1325.129150390625,3526.274169921875,925.8627319335938,976.7693481445312,3990.318603515625,938.1133422851562
4,5,Emaj7/F#,E,8.0,291.8587341308594,466.8899841308594,605.9664916992188,2591.433349609375,905.6303100585938,864.3656616210938,531.8784790039062,429.7562255859375,337.2959899902344,138.66505432128906,261.72027587890625,583.572509765625
5,6,Dmaj7/E,D,10.0,355.3385009765625,2104.953369140625,589.3356323242188,251.0263214111328,511.287841796875,433.9395751953125,545.6648559570312,183.35157775878906,831.064453125,727.8959350585938,180.60888671875,150.06300354003906
6,7,Dbmaj7/Eb,Db,12.0,758.3232421875,1377.6767578125,1051.313720703125,589.1467895507812,350.7757873535156,1161.829833984375,257.1707458496094,151.453125,552.9942626953125,188.41571044921875,94.27745819091797,136.7318572998047
7,7,Ebmaj7/F,Eb,13.0,148.6313934326172,153.06600952148438,138.62257385253906,257.25567626953125,115.33870697021484,270.9133605957031,86.0363540649414,78.34823608398438,44.42625045776367,58.37374496459961,310.37274169921875,100.04515838623047
8,8,Fmaj7/G,F,14.0,233.33070373535156,93.59468841552734,176.49468994140625,265.2447814941406,109.43314361572266,320.444091796875,91.5956802368164,137.73779296875,47.430049896240234,53.62081527709961,64.33965301513672,53.22781753540039
9,8,Gbmaj7/Ab,Gb,15.0,40087.56640625,83639.7109375,41430.18359375,88924.78125,45947.72265625,161344.140625,79052.4140625,29931.744140625,65691.8671875,47906.44140625,162273.453125,30912.8828125
10,17,Bbmin7,Bb,32.0,599.9628295898438,2422.65576171875,528.7357177734375,560.8711547851562,896.3849487304688,3488.203369140625,848.7305297851562,370.8316650390625,1899.7890625,1008.0520629882812,2010.5968017578125,428.1136474609375
11,18,Ebmin7,Eb,34.0,163.4563446044922,951.03173828125,378.5862731933594,975.2466430664062,196.64051818847656,282.2557678222656,1044.2193603515625,208.89691162109375,147.85662841796875,148.27403259277344,656.1574096679688,116.95577239990234
12,18,Fmin,F,35.0,568.1728515625,161.26051330566406,80.0155029296875,264.44842529296875,266.1615295410156,1102.8511962890625,342.34912109375,115.32573699951172,407.5970764160156,110.66759490966797,200.21746826171875,120.59932708740234
13,19,Bbmin7,Bb,36.0,762.8427734375,1845.8062744140625,386.9088134765625,286.3084411621094,687.717529296875,3101.87890625,628.76171875,266.8121032714844,1398.0374755859375,714.435791015625,1909.8726806640625,413.9880065917969
14,20,Ebmin7,Eb,38.0,342.41162109375,2189.072998046875,547.7378540039062,724.8688354492188,171.67677307128906,312.8952331542969,1096.1551513671875,253.28062438964844,118.54474639892578,124.33734130859375,578.7276611328125,153.9038543701172
15,20,Gbmaj7/Ab,Gb,39.0,100.85823822021484,292.9372253417969,127.18122100830078,329.2735900878906,190.5955810546875,709.7189331054688,518.7119750976562,82.50838470458984,85.73387908935547,167.23468017578125,755.1372680664062,177.54551696777344
16,21,Bbmin7,Bb,40.0,488.2487487792969,1544.6956787109375,375.8192138671875,391.5795593261719,772.8908081054688,3540.529541015625,932.031005859375,313.8962097167969,1497.7335205078125,1181.0455322265625,5252.779296875,891.7275390625
17,22,Ebmin7,Eb,42.0,162.87054443359375,953.74560546875,375.8045654296875,971.5233764648438,195.9234619140625,287.7208557128906,1060.3681640625,209.87855529785156,147.1595001220703,147.8867645263672,654.9825439453125,117.50536346435547
18,22,Fmin7,F,43.0,602.5012817382812,226.98439025878906,231.0028076171875,814.8170776367188,412.1889343261719,463.6016540527344,251.0506134033203,239.56004333496094,464.8294982910156,162.75697326660156,316.5113830566406,202.2699432373047
19,23,Bbmin7,Bb,44.0,950.0159301757812,1884.947265625,505.7798767089844,1032.6849365234375,879.505859375,3753.663818359375,717.3392944335938,291.2494201660156,1406.5743408203125,729.3021850585938,1915.6444091796875,449.5083923339844
20,24,Ebmin7,Eb,46.0,135.1785430908203,609.4861450195312,331.3272705078125,972.3200073242188,208.1175994873047,443.4263610839844,1093.5423583984375,230.8602752685547,75.31621551513672,151.43698120117188,657.6142578125,117.95671844482422
21,24,Gbmaj7/Ab,Gb,47.0,131.54251098632812,624.6023559570312,166.78329467773438,288.38739013671875,154.45953369140625,622.7970581054688,458.802734375,82.48471069335938,93.48075103759766,206.2721710205078,722.4505004882812,140.9178924560547
22,25,Bbmin7,Bb,48.0,555.9878540039062,1864.47607421875,404.4187316894531,253.3247833251953,651.8790893554688,3200.690673828125,832.7094116210938,311.0924987792969,1466.3560791015625,709.938232421875,1881.34912109375,379.7309265136719
23,26,Ebmin7,Eb,50.0,108.50554656982422,608.8497924804688,326.2400817871094,969.484375,185.34580993652344,256.8592224121094,1049.873046875,201.12794494628906,52.84782409667969,102.5677261352539,554.6494140625,101.02450561523438
24,26,Fmin7,F,51.0,601.525390625,225.05859375,233.20672607421875,827.6736450195312,411.2503356933594,457.83935546875,239.19215393066406,238.45152282714844,462.1026916503906,125.02509307861328,98.10359954833984,164.48318481445312
25,27,Bbmin,Bb,52.0,820.857177734375,1674.125,416.7135009765625,875.3910522460938,824.7073364257812,3656.345458984375,600.538818359375,102.86343383789062,283.65118408203125,551.2489624023438,1827.0118408203125,407.5469665527344
26,28,Ebmin7,Eb,54.0,116.18585968017578,593.0540161132812,319.6344909667969,936.7051391601562,183.5951385498047,264.3435974121094,1080.6148681640625,203.84747314453125,51.072052001953125,102.41361236572266,556.7907104492188,101.48779296875
27,28,Gbmaj7/Ab,Gb,55.0,202.7156982421875,732.8701171875,256.6229553222656,616.699951171875,294.0234375,1092.0780029296875,892.457763671875,139.1169891357422,128.12130737304688,191.87025451660156,670.1311645507812,164.10243225097656
28,29,Ebmin7,Eb,56.0,126.92626190185547,557.4771118164062,310.1157531738281,981.0888061523438,226.11474609375,499.0755920410156,1207.5599365234375,222.40625,77.36476135253906,116.8643798828125,593.7056884765625,114.55211639404297
29,29,Gbmaj7/Ab,Gb,57.0,213.86912536621094,724.353271484375,259.45062255859375,637.30078125,287.6531066894531,1070.8563232421875,893.3253784179688,137.5177001953125,127.74691009521484,191.061767578125,664.7088012695312,165.02247619628906
30,30,B/Db,B,58.0,25.91193962097168,90.69608306884766,43.86979675292969,81.23954010009766,48.33345031738281,269.0216369628906,307.8509521484375,52.09054946899414,39.49824905395508,25.724685668945312,46.238773345947266,12.879046440124512
31,30,Gbmaj7,Gb,59.0,42.615028381347656,26.163267135620117,84.8483657836914,422.351806640625,91.0442886352539,89.88558959960938,385.9362487792969,229.53578186035156,1115.1649169921875,190.05096435546875,56.21160888671875,188.4384002685547
32,31,E/F,E,60.0,119.6739730834961,136.3968505859375,67.06240844726562,142.32627868652344,489.1225891113281,295.5225830078125,90.1207275390625,68.53916931152344,253.362060546875,190.66371154785156,807.7138061523438,350.6351623535156
33,31,F/Bb,F,60.66666666666666,29.621232986450195,41.19319534301758,14.424643516540527,38.75511169433594,164.7662811279297,145.63160705566406,73.05919647216797,20.21967887878418,108.14907836914062,377.5487976074219,353.7745361328125,104.00769805908203
34,31,Bb,Bb,61.33333333333334,193.15306091308594,68.69330596923828,46.658077239990234,32.295597076416016,141.9941864013672,281.4236755371094,54.88461685180664,16.917049407958984,36.042537689208984,147.50296020507812,151.46853637695312,48.89176940917969
35,32,Ebmin7,Eb,62.0,100.72503662109375,434.513916015625,255.2834014892578,440.0560302734375,140.73255920410156,333.104736328125,514.2455444335938,114.22212982177734,87.9311752319336,125.9026107788086,328.6357116699219,72.32437896728516
36,32,Db7,Db,62.66666666666666,106.6990966796875,52.190216064453125,59.362545013427734,132.03497314453125,49.99448776245117,119.31824493408203,139.14385986328125,77.25719451904297,23.01984977722168,16.98775863647461,36.79254150390625,27.849733352661133
37,32,A,A,63.33333333333334,81.19898986816406,113.7627182006836,49.89878463745117,78.20681762695312,85.66199493408203,238.7541961669922,65.53661346435547,21.895036697387695,76.65133666992188,35.97132873535156,41.402862548828125,152.45082092285156
38,33,B7/A,B,64.0,502.2945251464844,1013.8037719726562,815.4743041992188,3604.356689453125,2526.755615234375,1855.5430908203125,4235.95263671875,805.5653686523438,582.7938842773438,1482.1070556640625,635.7217407226562,1414.09716796875
39,34,Bbmin7,Bb,66.0,520.5040893554688,1704.2109375,374.244384765625,297.7601013183594,792.8157348632812,3297.397705078125,646.4885864257812,256.7058410644531,1333.566162109375,715.392578125,1940.0440673828125,431.2584228515625
40,35,Ebmin7,Eb,68.0,107.65557098388672,605.247802734375,322.9470520019531,923.9721069335938,181.1907196044922,258.18206787109375,1064.7801513671875,200.73785400390625,53.372406005859375,103.95940399169922,561.3342895507812,104.1806640625
41,35,Fmin7,F,69.0,10.754131317138672,53.377498626708984,37.132423400878906,189.52821350097656,32.700401306152344,35.17412185668945,120.52544403076172,18.13965606689453,3.3236658573150635,4.817423343658447,29.86540985107422,8.284119606018066
42,36,Bbmin7,Bb,70.0,1009.7145385742188,387.17529296875,308.8154602050781,1283.48046875,421.3182067871094,783.1127319335938,183.9869384765625,168.7991943359375,379.7266540527344,148.49044799804688,232.7721710205078,216.108642578125
43,37,Ebmin7,Eb,72.0,114.58050537109375,601.2487182617188,330.3335266113281,893.6024780273438,193.75001525878906,359.0245666503906,1091.9102783203125,201.8966522216797,61.21900939941406,104.43775177001953,551.2844848632812,100.9174575805664
44,37,Gbmaj7/Ab,Gb,73.0,13.77786922454834,19.005388259887695,30.03908348083496,180.4067840576172,33.59739303588867,44.08688735961914,116.49846649169922,18.025604248046875,2.7918713092803955,4.723842144012451,28.050874710083008,8.327956199645996
45,38,Bbmin7,Bb,74.0,256.6158752441406,947.5797729492188,201.49049377441406,166.5903778076172,271.9452209472656,1460.8419189453125,800.5045776367188,111.18219757080078,134.74676513671875,145.1029815673828,424.8268127441406,147.97970581054688
46,39,Ebmin7,Eb,76.0,115.02497100830078,531.7811279296875,309.51116943359375,923.0922241210938,221.23065185546875,498.5262145996094,1137.6424560546875,211.3108673095703,78.93223571777344,117.84851837158203,573.6345825195312,109.26488494873047
47,39,Fmin7,F,77.0,11.7046537399292,53.85369873046875,38.35495376586914,199.6154327392578,37.28693389892578,46.6077766418457,114.45721435546875,18.56270408630371,5.009541034698486,6.006288528442383,33.97854995727539,7.546955585479736
48,40,Bbmin7,Bb,78.0,1006.7283325195312,389.6433410644531,325.9440002441406,1383.2288818359375,445.4599914550781,880.0181274414062,194.67881774902344,163.86997985839844,338.8041076660156,140.0984344482422,227.3481903076172,209.0161590576172
49,41,Ebmin7,Eb,80.0,114.80403900146484,602.9104614257812,325.7933654785156,854.0822143554688,186.5541229248047,359.8079833984375,1093.7259521484375,202.0565643310547,61.47357177734375,104.13912200927734,548.9765014648438,100.4474868774414
50,41,Gbmaj7/Ab,Gb,81.0,207.3760528564453,738.0975952148438,259.4740295410156,608.5446166992188,293.4002685546875,1105.4935302734375,909.194580078125,136.66175842285156,125.31561279296875,189.9440155029297,660.7133178710938,165.82952880859375
51,42,Bbmin7,Bb,82.0,140.60646057128906,387.0379943847656,147.83734130859375,264.5356750488281,209.46986389160156,1003.0856323242188,457.8958435058594,92.66106414794922,226.4604034423828,123.01734161376953,243.77882385253906,65.08844757080078
52,43,Ebmin7,Eb,84.0,112.98483276367188,608.2084350585938,341.7413330078125,956.0217895507812,195.36456298828125,351.34375,1123.4512939453125,207.68125915527344,64.14888763427734,104.6281509399414,549.3389282226562,99.39156341552734
53,43,Fmin7,F,85.0,4.95518159866333,16.769018173217773,27.599424362182617,160.39967346191406,30.530067443847656,45.34157943725586,116.58527374267578,17.55828285217285,2.9884607791900635,4.695511341094971,28.387718200683594,5.905324459075928
54,44,Bbmin7,Bb,86.0,1016.5213012695312,360.3656005859375,294.9596252441406,1234.010986328125,423.4176940917969,840.8591918945312,191.72642517089844,166.25625610351562,361.0975341796875,143.7029266357422,229.6992645263672,211.6549072265625
