,Measure,Sandu,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,2,Eb7,Eb,2.0,51.760772705078125,219.18968200683594,293.07867431640625,1054.4388427734375,187.60231018066406,69.78287506103516,326.68609619140625,2053.878662109375,328.6883850097656,49.84737777709961,252.19822692871094,86.28268432617188
1,3,Ab7,Ab,4.0,262.68402099609375,556.9921264648438,196.3902587890625,715.8329467773438,933.769775390625,276.6418151855469,281.6519470214844,558.1732788085938,307.0887756347656,536.910400390625,147.92662048339844,123.35723114013672
2,3,A7,A,5.0,39.651283264160156,113.9486083984375,81.45880889892578,285.4512023925781,212.1116943359375,72.15677642822266,72.05542755126953,108.95797729492188,33.01982498168945,26.96484375,72.8791275024414,31.39664649963379
3,4,Eb7,Eb,6.0,53.026432037353516,162.9156036376953,278.7188415527344,1110.18994140625,297.1628723144531,87.49523162841797,360.818603515625,2058.320556640625,332.0268859863281,51.879703521728516,256.3366394042969,91.79473114013672
4,5,Eb7,Eb,8.0,130.27273559570312,779.1830444335938,283.11224365234375,931.332763671875,190.6446990966797,86.43755340576172,79.76764678955078,322.6885681152344,230.20220947265625,129.53196716308594,540.8229370117188,110.27688598632812
5,6,Ab7,Ab,10.0,359.2427062988281,81.90882873535156,173.87876892089844,921.5324096679688,178.7853240966797,99.11286163330078,542.9774169921875,233.3286590576172,625.8104858398438,103.47784423828125,37.592533111572266,77.11090850830078
6,7,Adim,A,12.0,387.5853576660156,112.2378158569336,194.38487243652344,992.8634643554688,387.3780517578125,195.05995178222656,94.45513153076172,124.27615356445312,636.05224609375,2371.848876953125,4166.6767578125,636.54931640625
7,8,Eb7,Eb,14.0,50.36472702026367,197.82362365722656,207.5678253173828,916.554931640625,147.85678100585938,19.727296829223633,172.64857482910156,1136.1219482421875,167.11720275878906,32.48912048339844,167.67013549804688,45.029293060302734
8,9,Gmin,G,16.0,47.543670654296875,37.51982879638672,92.4579849243164,47.89678955078125,92.41381072998047,73.05353546142578,41.2801628112793,125.85269927978516,45.155792236328125,303.8702697753906,1478.22314453125,246.94972229003906
9,9,C7,C,17.0,151.21685791015625,45.41218948364258,47.57492446899414,213.8416290283203,324.6279296875,99.76447296142578,75.05443572998047,169.38986206054688,85.8503646850586,117.95782470703125,120.0708236694336,74.60631561279297
10,10,Fmin7,F,18.0,561.9503784179688,151.56884765625,226.47459411621094,1293.2977294921875,530.4376831054688,969.24853515625,393.7689514160156,477.9835205078125,2243.292724609375,485.6573791503906,156.09983825683594,150.8285675048828
11,11,Bb7,Bb,20.0,296.0632019042969,1524.51416015625,640.4608154296875,230.4634552001953,262.3979187011719,1108.29248046875,177.4927978515625,104.53191375732422,230.3074493408203,289.5459899902344,1153.3140869140625,242.1708984375
12,12,Gmin7,G,22.0,64.40172576904297,51.368289947509766,81.05062103271484,51.823665618896484,158.9769287109375,461.1888427734375,97.08228302001953,115.29208374023438,39.48842239379883,62.53233337402344,89.15264129638672,44.614227294921875
13,12,C7,C,23.0,155.6297149658203,42.63494110107422,44.087825775146484,108.63186645507812,326.5739440917969,176.4812469482422,55.060115814208984,162.1909637451172,109.23049926757812,224.34263610839844,1384.03369140625,264.7733154296875
14,13,Fmin7,F,24.0,140.32373046875,31.665502548217773,58.591278076171875,277.27880859375,130.09010314941406,149.321533203125,55.40529251098633,130.95840454101562,57.779727935791016,17.538970947265625,44.97882080078125,49.2590446472168
15,13,Bb7,Bb,25.0,37.80851745605469,81.60999298095703,254.73704528808594,183.45750427246094,128.9527130126953,418.434814453125,92.13046264648438,65.57695007324219,99.520751953125,80.68669128417969,165.40765380859375,51.033660888671875
16,14,Eb7,Eb,26.0,61.14192199707031,227.95643615722656,302.37127685546875,957.58642578125,202.38671875,265.1552734375,94.01262664794922,297.4576110839844,71.82451629638672,33.798709869384766,152.1829376220703,47.571598052978516
17,15,Fmin7,F,28.0,141.87193298339844,26.93535804748535,51.88746643066406,258.8609924316406,93.78263092041016,99.37151336669922,21.776655197143555,22.017587661743164,32.224727630615234,12.906311988830566,13.346278190612793,34.68235778808594
18,15,Bb7,Bb,29.0,245.19989013671875,387.1649169921875,1852.1346435546875,679.6143798828125,694.9506225585938,3155.381103515625,623.1792602539062,175.53330993652344,852.8898315429688,641.5138549804688,1518.6490478515625,355.9848327636719
