,Measure,Mr Syms,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,Cmaj7,C,0.0,609.7838134765625,141.69158935546875,82.75387573242188,254.56455993652344,1066.372802734375,206.63433837890625,104.38797760009766,439.1270446777344,96.23839569091797,49.421268463134766,104.56253814697266,634.950439453125
1,1,C7,C,1.0,669.83251953125,115.93114471435547,16.026334762573242,44.884273529052734,178.802490234375,43.35577392578125,24.832883834838867,60.21249771118164,16.544267654418945,10.196747779846191,26.772436141967773,139.35009765625
2,2,Bmaj7,B,2.0,231.61390686035156,89.62349700927734,264.8803405761719,1078.232177734375,619.6359252929688,354.4724426269531,1118.4874267578125,404.53125,97.55419158935547,228.48338317871094,1418.3487548828125,727.0097045898438
3,2,Gdim,G,3.0,154.94650268554688,524.7128295898438,175.06346130371094,276.0298767089844,141.88186645507812,91.79967498779297,231.26953125,651.3013916015625,152.0369110107422,102.6451187133789,518.1859741210938,213.69786071777344
4,3,C,C,4.0,14.13199234008789,25.42243194580078,11.678177833557129,28.437362670898438,18.79716682434082,5.19612455368042,14.47598648071289,37.340553283691406,6.251115322113037,5.0565619468688965,31.688169479370117,22.355375289916992
5,3,Db,Db,5.0,1235.234375,254.1930389404297,90.93862915039062,235.5140380859375,1081.213134765625,200.2501220703125,106.59747314453125,571.7410278320312,122.19063568115234,36.03776931762695,52.47385025024414,336.255126953125
6,4,Bb,Bb,6.0,175.84613037109375,366.4260559082031,688.1300659179688,158.2527618408203,382.9927673339844,1031.8857421875,273.4819030761719,100.97988891601562,170.23199462890625,388.9380798339844,1600.2154541015625,310.5243225097656
7,4,Gdim,G,7.0,54.15163040161133,239.89813232421875,127.26705932617188,31.545591354370117,72.59818267822266,220.98011779785156,83.4794692993164,382.0982971191406,101.2945556640625,80.67415618896484,313.9136657714844,77.32947540283203
8,5,Fmin7,F,8.0,2115.639404296875,473.9541931152344,611.8138427734375,2658.155029296875,1263.5762939453125,1614.66552734375,350.4266357421875,747.5060424804688,1614.37060546875,377.5411071777344,236.5865478515625,493.30859375
9,6,Fmin7,F,10.0,2170.296630859375,599.298095703125,1011.1493530273438,3047.800537109375,1229.0562744140625,1343.8299560546875,333.46270751953125,726.2860717773438,1732.1121826171875,409.6285095214844,249.1936798095703,475.5337219238281
10,7,Cmaj7,C,12.0,625.7911987304688,102.68071746826172,19.203121185302734,29.748262405395508,17.743486404418945,20.542078018188477,17.929096221923828,26.865896224975586,9.756806373596191,11.69218921661377,37.51970672607422,92.20263671875
11,7,C7,C,13.0,1300.5614013671875,260.0676574707031,127.94420623779297,278.4302062988281,1083.5792236328125,215.988037109375,115.36569213867188,434.32080078125,101.67636108398438,56.689151763916016,121.1529769897461,730.7255859375
12,8,Bmaj7,B,14.0,592.044677734375,122.3931655883789,42.85597229003906,142.2980499267578,659.6974487304688,171.06744384765625,73.95246124267578,299.90631103515625,91.14066314697266,328.481201171875,2150.57763671875,480.7238464355469
13,8,Gdim,G,15.0,93.80382537841797,27.28450584411621,95.7308578491211,422.4124755859375,159.9307403564453,74.1013412475586,418.5406188964844,223.75062561035156,41.70267868041992,37.6972541809082,210.21693420410156,228.55210876464844
14,9,G7,G,16.0,257.0298767089844,332.2434387207031,395.0764465332031,276.2561340332031,294.86846923828125,1104.4080810546875,615.9960327148438,805.5105590820312,155.95167541503906,115.35579681396484,340.59759521484375,919.6965942382812
15,9,Db,Db,17.0,358.4300231933594,630.7427978515625,212.32643127441406,126.0918960571289,250.1949005126953,1060.2518310546875,239.98272705078125,198.6515350341797,429.8892822265625,87.65343475341797,68.65373992919922,145.61988830566406
16,10,A6,A,18.0,175.55352783203125,553.2516479492188,169.96896362304688,308.5152893066406,859.061279296875,665.5641479492188,1132.8619384765625,425.2354431152344,1593.0938720703125,717.7037963867188,128.42745971679688,84.4614486694336
17,10,B7,B,19.0,147.61170959472656,184.28961181640625,237.58619689941406,1083.1751708984375,360.3197937011719,310.0707092285156,1234.9278564453125,386.1118469238281,1207.2230224609375,623.2340698242188,223.95050048828125,540.2411499023438
18,11,Emaj7,E,20.0,185.84559631347656,93.71805572509766,164.28529357910156,891.991455078125,1080.737548828125,290.1797180175781,231.77052307128906,236.7620849609375,488.8060607910156,122.30743408203125,236.47227478027344,915.4260864257812
19,11,G7,G,21.0,147.00778198242188,227.2871856689453,1166.10888671875,356.0208435058594,475.3062438964844,1160.275146484375,445.7809143066406,485.8092346191406,152.20095825195312,118.39993286132812,131.4871063232422,482.0596618652344
