,Measure,Reverend Green,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0,1,G7,G,0.0,75.5654296875,64.57997131347656,190.7985076904297,107.83731842041016,139.8901824951172,492.712158203125,278.8338928222656,625.4290161132812,144.26861572265625,43.35380554199219,71.97752380371094,246.42747497558594
1,1,G9,G,0.6666666666666666,16.837182998657227,13.319802284240723,36.78046798706055,13.74052906036377,30.8392333984375,156.70440673828125,45.178775787353516,37.60970687866211,12.107579231262207,47.75741195678711,251.3842010498047,97.14315795898438
2,1,C7,C,1.3333333333333333,1227.6263427734375,478.5101318359375,947.7775268554688,822.4682006835938,2706.35205078125,3372.746337890625,1266.1685791015625,3507.5048828125,871.7069702148438,1115.642578125,1406.3331298828125,1953.1036376953125
3,3,G7,G,4.0,76.11284637451172,64.82421875,186.1973876953125,116.02664184570312,150.7552032470703,503.748046875,284.4525451660156,628.485107421875,145.38980102539062,52.35667419433594,75.99188995361328,248.021484375
4,3,G9,G,4.666666666666667,18.154342651367188,13.657981872558594,37.1893196105957,14.69682788848877,34.0223503112793,153.1726837158203,45.67045974731445,38.707923889160156,12.375965118408203,46.9495849609375,241.0067138671875,95.85614776611328
5,3,C7,C,5.333333333333333,1220.81494140625,477.640869140625,949.4983520507812,820.1143188476562,2763.974853515625,3391.033447265625,1261.4539794921875,3496.838134765625,870.7443237304688,1113.0377197265625,1379.9739990234375,1942.1514892578125
6,5,G7,G,8.0,152.93179321289062,120.5113525390625,336.4349365234375,205.2295379638672,278.4310607910156,1110.9019775390625,463.776611328125,481.2350158691406,118.5462417602539,106.8899154663086,146.57461547851562,552.8117065429688
7,5,G9,G,9.0,175.25242614746094,166.5784454345703,386.2783203125,220.73561096191406,281.5075378417969,1001.8936157226562,476.4864501953125,595.3359985351562,203.9073028564453,442.6328430175781,195.9470672607422,550.1504516601562
8,6,C9,C,10.0,1968.0242919921875,844.43505859375,3429.8076171875,1323.5474853515625,4029.2490234375,1468.36669921875,472.3034973144531,1595.24951171875,486.248779296875,698.3375854492188,1946.4329833984375,1024.9527587890625
9,7,G7,G,12.0,81.86109161376953,67.64962005615234,173.13336181640625,110.56049346923828,160.8470916748047,509.9811706542969,243.2135772705078,215.56739807128906,61.782596588134766,145.07009887695312,692.67626953125,346.5116271972656
10,7,G9,G,12.666666666666664,56.1020622253418,46.49908447265625,126.98151397705078,72.61019134521484,121.04766082763672,442.9803771972656,161.3186798095703,221.2985382080078,46.2707633972168,111.12789916992188,89.7160415649414,268.8504943847656
11,7,C7,C,13.333333333333336,2064.380126953125,539.7367553710938,700.5831909179688,968.4756469726562,4775.1845703125,2181.349853515625,591.017333984375,1923.52685546875,565.4913940429688,639.007080078125,2139.492919921875,1456.46337890625
12,9,G7,G,16.0,157.70126342773438,118.47977447509766,332.8409118652344,194.56910705566406,295.0556640625,1110.967041015625,458.9173278808594,483.2554626464844,117.67984771728516,92.5435791015625,143.31118774414062,546.0617065429688
13,9,G9,G,17.0,53.04719161987305,39.077632904052734,80.76277923583984,41.67955780029297,75.63150787353516,381.943603515625,106.55652618408203,129.46853637695312,46.992069244384766,68.18233489990234,43.602298736572266,123.43099975585938
14,10,C9,C,18.0,2002.5826416015625,869.59814453125,3534.3896484375,1307.7935791015625,4126.1474609375,2013.9788818359375,599.5394897460938,1746.9788818359375,537.3922729492188,890.4521484375,2048.084228515625,1277.6614990234375
